pdc,jurisdiction,county,type
Accomack-Northampton,Accomack,Accomack County,county
Accomack-Northampton,Northampton,Northampton County,county
Accomack-Northampton,Accomac,Accomack County,town
Accomack-Northampton,Belle Haven,Northampton County,town
Accomack-Northampton,Bloxom,Accomack County,town
Accomack-Northampton,Cape Charles,Northampton County,town
Accomack-Northampton,Cheriton,Northampton County,town
Accomack-Northampton,Chincoteague,Accomack County,town
Accomack-Northampton,Eastville,Northampton County,town
Accomack-Northampton,Exmore,Northampton County,town
Accomack-Northampton,Hallwood,Accomack County,town
Accomack-Northampton,Keller,Accomack County,town
Accomack-Northampton,Melfa,Accomack County,town
Accomack-Northampton,Nassawadox,Northampton County,town
Accomack-Northampton,Onancock,Accomack County,town
Accomack-Northampton,Onley,Accomack County,town
Accomack-Northampton,Painter,Accomack County,town
Accomack-Northampton,Parksley,Accomack County,town
Accomack-Northampton,Saxis,Accomack County,town
Accomack-Northampton,Tangier,Accomack County,town
Accomack-Northampton,Wachapreague,Accomack County,town
Central Shenandoah,Buena Vista,Buena Vista,city
Central Shenandoah,Harrisonburg,Harrisonburg,city
Central Shenandoah,Lexington,Lexington,city
Central Shenandoah,Staunton,Staunton,city
Central Shenandoah,Waynesboro,Waynesboro,city
Central Shenandoah,Augusta,Augusta County,county
Central Shenandoah,Bath,Bath County,county
Central Shenandoah,Highland,Highland County,county
Central Shenandoah,Rockbridge,Rockbridge County,county
Central Shenandoah,Rockingham,Rockingham County,county
Central Shenandoah,Bridgewater,Rockingham County,town
Central Shenandoah,Broadway,Rockingham County,town
Central Shenandoah,Craigsville,Augusta County,town
Central Shenandoah,Dayton,Rockingham County,town
Central Shenandoah,Elkton,Rockingham County,town
Central Shenandoah,Glasgow,Rockbridge County,town
Central Shenandoah,Goshen,Rockbridge County,town
Central Shenandoah,Grottoes,Rockingham County,town
Central Shenandoah,Monterey,Highland County,town
Central Shenandoah,Mount Crawford,Rockingham County,town
Central Shenandoah,Timberville,Rockingham County,town
Central Virginia,Lynchburg,Lynchburg,city
Central Virginia,Amherst,Amherst County,county
Central Virginia,Appomattox,Appomattox County,county
Central Virginia,Bedford,Bedford County,county
Central Virginia,Campbell,Campbell County,county
Central Virginia,Altavista,Campbell County,town
Central Virginia,Amherst,Amherst County,town
Central Virginia,Appomattox (town),Appomattox County,town
Central Virginia,Bedford (town),Bedford County,town
Central Virginia,Brookneal,Campbell County,town
Central Virginia,Pamplin City,Appomattox County,town
Commonwealth Regional Council,Amelia,Amelia County,county
Commonwealth Regional Council,Buckingham,Buckingham County,county
Commonwealth Regional Council,Charlotte,Charlotte County,county
Commonwealth Regional Council,Cumberland,Cumberland County,county
Commonwealth Regional Council,Lunenburg,Lunenburg County,county
Commonwealth Regional Council,Nottoway,Nottoway County,county
Commonwealth Regional Council,Prince Edward,Prince Edward County,county
Commonwealth Regional Council,Blackstone,Nottoway County,town
Commonwealth Regional Council,Burkeville,Nottoway County,town
Commonwealth Regional Council,Charlotte Court House,Charlotte County,town
Commonwealth Regional Council,Crewe,Nottoway County,town
Commonwealth Regional Council,Dillwyn,Buckingham County,town
