Status,Last Updated,Jurisdiction Status,Jurisdiction Last Updated,State,County,Jurisdiction,Parent Jurisdiction,Abbreviated District Name,Full District Name,Effective Start Date,Changed or Expired,District Mapped,District Mapped But Extinct,Overlay,Type of Zoning District,Affordable Housing District,Elderly Housing District,1-Family Treatment,2-Family Treatment,3-Family Treatment,4+-Family Treatment,1-Family Min. Lot,1-Family Min. Lot Units,1-Family Front Setback,1-Family Front Setback Units,1-Family Side Setback,1-Family Side Setback Units,1-Family Rear Setback,1-Family Rear Setback Units,1-Family Max. Lot Coverage - Buildings,1-Family Max. Lot Coverage - Buildings Units,1-Family Max. Lot Coverage - Buildings & Impervious Surface,1-Family Max. Lot Coverage - Buildings & Impervious Surface Units,1-Family Min. # Parking Spaces,1-Family Min. # Parking Spaces Units,1-Family Max. Stories,1-Family Max. Stories Units,1-Family Max. Height,1-Family Max. Height Units,1-Family Floor to Area Ratio,1-Family Floor to Area Ratio Units,1-Family Min. Unit Size,1-Family Min. Unit Size Units,2-Family Affordable Housing Only,2-Family Elderly Housing Only,2-Family Min. Lot,2-Family Min. Lot Units,2-Family Max. Density,2-Family Max. Density Units,2-Family Front Setback,2-Family Front Setback Units,2-Family Side Setback,2-Family Side Setback Units,2-Family Rear Setback,2-Family Rear Setback Units,2-Family Max. Lot Coverage - Buildings,2-Family Max. Lot Coverage - Buildings Units,2-Family Max. Lot Coverage - Buildings & Impervious Surface,2-Family Max. Lot Coverage - Buildings & Impervious Surface Units,2-Family Min. # Parking Spaces Per Studio or 1BR,2-Family Min. # Parking Spaces Per Studio or 1BR Units,2-Family Min. # Parking Spaces Per 2+ BR,2-Family Min. # Parking Spaces Per 2+ BR Units,2-Family Max. Stories,2-Family Max. Stories Units,2-Family Max. Height,2-Family Max. Height Units,2-Family Floor to Area Ratio,2-Family Floor to Area Ratio Units,2-Family Min. Unit Size,2-Family Min. Unit Size Units,3-Family Affordable Housing Only,3-Family Elderly Housing Only,3-Family Min. Lot,3-Family Min. Lot Units,3-Family Max. Density,3-Family Max. Density Units,3-Family Front Setback,3-Family Front Setback Units,3-Family Side Setback,3-Family Side Setback Units,3-Family Rear Setback,3-Family Rear Setback Units,3-Family Max. Lot Coverage - Buildings,3-Family Max. Lot Coverage - Buildings Units,3-Family Max. Lot Coverage - Buildings & Impervious Surface,3-Family Max. Lot Coverage - Buildings & Impervious Surface Units,3-Family Min. # Parking Spaces Per Studio or 1BR,3-Family Min. # Parking Spaces Per Studio or 1BR Units,3-Family Min. # Parking Spaces Per 2+ BR,3-Family Min. # Parking Spaces Per 2+ BR Units,3-Family Connection to Sewer and/or Water Required,3-Family Connection or Proximity to Public Transit Required,3-Family Max. Stories,3-Family Max. Stories Units,3-Family Max. Height,3-Family Max. Height Units,3-Family Floor to Area Ratio,3-Family Floor to Area Ratio Units,3-Family Min. Unit Size,3-Family Min. Unit Size Units,3-Family Max. Bedrooms Per Unit,3-Family Max. Bedrooms Per Unit Units,4+-Family Affordable Housing Only,4+-Family Elderly Housing Only,4+-Family Min. Lot,4+-Family Min. Lot Units,4+-Family Max. Density,4+-Family Max. Density Units,4+-Family Front Setback,4+-Family Front Setback Units,4+-Family Side Setback,4+-Family Side Setback Units,4+-Family Rear Setback,4+-Family Rear Setback Units,4+-Family Max. Lot Coverage - Buildings,4+-Family Max. Lot Coverage - Buildings Units,4+-Family Max. Lot Coverage - Buildings & Impervious Surface,4+-Family Max. Lot Coverage - Buildings & Impervious Surface Units,4+-Family Min. # Parking Spaces Per Studio or 1BR,4+-Family Min. # Parking Spaces Per Studio or 1BR Units,4+-Family Min. # Parking Spaces Per 2+ BR,4+-Family Min. # Parking Spaces Per 2+ BR Units,4+-Family Connection to Sewer and/or Water Required,4+-Family Connection or Proximity to Public Transit Required,4+-Family Max. Stories,4+-Family Max. Stories Units,4+-Family Max. Height,4+-Family Max. Height Units,4+-Family Floor to Area Ratio,4+-Family Floor to Area Ratio Units,4+-Family Min. Unit Size,4+-Family Min. Unit Size Units,4+-Family Max. Bedrooms,4+-Family Max. Bedrooms Units,4+-Family Max. Units,4+-Family Max. Units Units,Affordable Housing (AH) Treatment,AH - Definition,AH - Elderly Housing Only,AH Min. Lot,AH Min. Lot Units,AH Max. Density,AH Max. Density Units,AH Min. Parking Spaces Per Studio or 1BR,AH Min. Parking Spaces Per Studio or 1BR Units,AH Min. Parking Spaces Per 2+ BR,AH Min. Parking Spaces Per 2+ BR Units,AH Connection to Sewer and/or Water Required,AH Connection or Proximity to Public Transit Required,AH Min. Unit Size,AH Min. Unit Size Units,AH Max. Bedrooms,AH Max. Bedrooms Units,AH Max. Units,AH Max. Units Units,Accessory Dwelling Unit (ADU) Treatment,ADU Employee or Family Occupancy Required,ADU Renter Occupancy Prohibited,ADU Owner Occupancy Required,ADU Elderly Housing Only,ADU Min. Lot,ADU Min. Lot Units,ADU Min. Parking Spaces,ADU Min. Parking Spaces Units,"ADU Restricted to Only Primary Structure (i.e., No Outbuildings like Garages)",ADU Max. Percent Main Unit,ADU Max. Percent Main Unit Units,ADU Max. Size,ADU Max. Size Units,ADU Max. Bedrooms,ADU Max. Bedrooms Units,Planned Residential Development (PRD) Treatment,Mobile or Manufactured Home Park (Y/N),PRD Min. Lot,PRD Min. Lot Units,PRD Max. Density,PRD Max. Density Units,PRD Max. Units,PRD Max. Units Units,Special Notes,Tooltip Notes,1-Family (smallest value under ideal conditions),2-Family (smallest value under ideal conditions),3-Family (smallest value under ideal conditions),4+-Family (smallest value under ideal conditions)
Completed,2023-08-11,Published,2023-08-11,Virginia,Virginia Beach city,Virginia Beach,,A-12,Apartment,2023-06-09,,Yes,No,No,Primarily Residential,No,No,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,0.03; 0.6 min avg. of townhomes in single row,Alternatives,30,Feet,30; 15 if req. parking provided in rear,Alternatives,10,Feet,40,Percent,,N/A,2,Spaces per Unit,,N/A,35,Feet,,N/A,,N/A,No,No,0.15 semidetached; 0.23 duplex,Alternatives,,N/A,30,Feet,15 semidetached; 10 duplex; 30 adjacent to street,Alternatives,10,Feet,30,Percent,,N/A,2,Spaces per Unit,2,Spaces per Unit,,N/A,35,Feet,,N/A,,N/A,No,No,0.23,Acres per 3-Family,12,Units per Acre,30,Feet,10; 30 adjacent to street,Alternatives,10,Alternatives,,N/A,40,Percent,2; 1.75 in excess of 50 units,Alternatives,2; 1.75 in excess of 50 units,Alternatives,No,No,,N/A,35,Feet,,N/A,,N/A,,N/A,No,No,0.23,Acres per 4+-Family,12,Units per Acre,30,Feet,10; 30 adjacent to street,Alternatives,10,Alternatives,,N/A,40,Percent,2; 1.75 in excess of 50 units,Alternatives,2; 1.75 in excess of 50 units,Alternatives,No,No,,N/A,35,Feet,,N/A,,N/A,,N/A,,N/A,Not Mentioned,,No,,Acres per Development,,Units per Acre,,Spaces per Unit,,Spaces per Unit,No,No,,Square Feet,,Bedrooms per Unit,,Units per Building,Not Mentioned,No,No,No,No,,Acres,,Parking Spaces Add'l to Main Unit,No,,Percent of Main Unit,,Square Feet,,Bedrooms per Unit,Not Mentioned,No,,Acres per PRD,,Units per Acre,,Units per PRD,,Maximum density for attached dwellings (townhouses) is 12 dwellings/acre and max number of attached dwellings in one group is 6. Mobile home parks are allowed through conid,0.03,0.15,0.23,0.23
Completed,2023-08-11,Published,2023-08-11,Virginia,Virginia Beach city,Virginia Beach,,A-18,Apartment,2023-06-09,,Yes,No,No,Primarily Residential,No,No,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,0.03; 0.6 min avg. of townhomes in single row,Alternatives,30,Feet,30; 15 if req. parking provided in rear,Alternatives,10,Feet,40,Percent,,N/A,2,Spaces per Unit,,N/A,35,Feet,,N/A,,N/A,No,No,0.15 semidetached; 0.23 duplex,Alternatives,,Units per Acre,30,Feet,15 semidetached; 10 duplex; 30 adjacent to street,Alternatives,10,Feet,30,Percent,30,Percent,2,Spaces per Unit,2,Spaces per Unit,,N/A,35,Feet,,N/A,,N/A,No,No,0.01,Acres per 3-Family,18,Units per Acre,30,Feet,10; 30 adjacent to street,Alternatives,10,Feet,50,Percent,30,Percent,2; 1.75 excess of 50 units,Contextual,,N/A,No,No,,N/A,35,Feet,,N/A,,N/A,,N/A,No,No,0.01,Acres per 4+-Family,18,Units per Acre,30,Feet,10; 30 adjacent to street,Alternatives,10,Feet,50,Percent,,N/A,2; 1.75 excess of 50 units,Alternatives,2; 1.75 excess of 50 units,Alternatives,No,No,,N/A,35,Feet,,N/A,,N/A,,N/A,,N/A,Not Mentioned,,No,,Acres per Development,,Units per Acre,,Spaces per Unit,,Spaces per Unit,No,No,,Square Feet,,Bedrooms per Unit,,Units per Building,Not Mentioned,No,No,No,No,,Acres,,Parking Spaces Add'l to Main Unit,No,,Percent of Main Unit,,Square Feet,,Bedrooms per Unit,Not Mentioned,No,,Acres per PRD,,Units per Acre,,Units per PRD,,Maximum density for attached dwellings (townhouses) is 18 dwellings/acre and max number of attached dwellings in one group is 6.,0.03,0.15,0.01,0.01
Completed,2023-08-11,Published,2023-08-11,Virginia,Virginia Beach city,Virginia Beach,,A-24,Apartment,2023-06-09,,Yes,No,No,Primarily Residential,No,No,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,0.03; 0.6 min avg. of townhomes in single row,Alternatives,30,Feet,30; 15 if req. parking provided in rear,Alternatives,10,Feet,40,Percent,,N/A,2,Spaces per Unit,,N/A,45,Feet,,N/A,,N/A,No,No,0.15 semidetached; 0.23 duplex,Alternatives,,N/A,30,Feet,15 semidetached; 10 duplex; 30 adjacent to street,Alternatives,10,Feet,30,Percent,30,Percent,2,Alternatives,2,Alternatives,,N/A,45,Feet,,N/A,,N/A,No,No,0.46,Acres per 3-Family,24,Units per Acre,30,Feet,10; 30 adjacent to street,Alternatives,10,Feet,60,Percent,,N/A,2; 1.75 in excess of 50 units,Alternatives,2; 1.75 in excess of 50 units,Alternatives,No,No,,N/A,45,Feet,,N/A,,N/A,,N/A,No,No,0.46,Acres per 4+-Family,24,Units per Acre,30,Feet,10; 30 adjacent to street,Alternatives,10,Feet,60,Percent,,N/A,2; 1.75 in excess of 50 units,Alternatives,2; 1.75 in excess of 50 units,Alternatives,No,No,,N/A,45,Feet,,N/A,,N/A,,N/A,,N/A,Not Mentioned,,No,,Acres per Development,,Units per Acre,,Spaces per Unit,,Spaces per Unit,No,No,,Square Feet,,Bedrooms per Unit,,Units per Building,Not Mentioned,No,No,No,No,,Acres,,Parking Spaces Add'l to Main Unit,No,,Percent of Main Unit,,Square Feet,,Bedrooms per Unit,Not Mentioned,No,,Acres per PRD,,Units per Acre,,Units per PRD,,Maximum density for attached dwellings (townhouses) is 24 dwellings/acre and max number of attached dwellings in one group is 6.,0.03,0.15,0.46,0.46
Completed,2023-08-11,Published,2023-08-11,Virginia,Virginia Beach city,Virginia Beach,,A-36,Apartment ,2023-06-09,,Yes,No,No,Primarily Residential,No,No,Prohibited,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,0.01,Acres,30,Feet,15; 5 accessory; 30 adjacent,Alternatives,10; 5 accessory,Alternatives,30,Percent,30,Percent,2,Spaces per Unit,,N/A,35,Feet,,N/A,,N/A,No,No,0.15 semidetached; 0.23 duplex,Alternatives,,N/A,30,Feet,15 semidetached; 8 duplex; 30 adjacent street,Alternatives,10,Feet,30,Percent,30,Percent,2,Spaces per Unit,2,Spaces per Unit,,N/A,120,Feet,,N/A,,N/A,No,No,0.92,Acres per 3-Family,36,Units per Acre,30,Feet,8; 30 adjacent to street,Alternatives,10,Feet,75,Percent,,N/A,2; 1.75 in excess of 50 units,Alternatives,2; 1.75 in excess of 50 units,Alternatives,No,No,,N/A,120,Feet,,N/A,,N/A,,N/A,No,No,0.92,Acres per 4+-Family,36,Units per Acre,30,Feet,8; 30 adjacent to street,Alternatives,10,Feet,75,Percent,,N/A,2; 1.75 in excess of 50 units,Alternatives,2; 1.75 in excess of 50 units,Alternatives,No,No,,N/A,120,Feet,,N/A,,N/A,,N/A,,N/A,Not Mentioned,,No,,Acres per Development,,Units per Acre,,Spaces per Unit,,Spaces per Unit,No,No,,Square Feet,,Bedrooms per Unit,,Units per Building,Not Mentioned,No,No,No,No,,Acres,,Parking Spaces Add'l to Main Unit,No,,Percent of Main Unit,,Square Feet,,Bedrooms per Unit,Not Mentioned,No,,Acres per PRD,,Units per Acre,,Units per PRD,,,,0.15,0.92,0.92
Completed,2023-08-11,Published,2023-08-11,Virginia,Virginia Beach city,Virginia Beach,,AG-1,Agricultural,2023-06-09,,Yes,No,No,Primarily Residential,No,No,Allowed/Conditional,Prohibited,Prohibited,Prohibited,1,Acres,50,Feet,20; 30 street adjacent; 50 adjoin major ROW,Alternatives,20,Feet,,N/A,,N/A,2,Spaces per Unit,,N/A,35; 42 in 10+ subdivision after adoption or with setbacks 5' greater,Alternatives,,N/A,,N/A,No,No,,Acres per 2-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,,Stories,,Feet,,Ratio,,Square Feet,No,No,,Acres per 3-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,No,No,,Stories,,Feet,,Ratio,,Square Feet,,Bedrooms per Unit,No,No,,Acres per 4+-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,No,No,,Stories,,Feet,,Ratio,,Square Feet,,Bedrooms per Unit,,Units per Building,Not Mentioned,,No,,Acres per Development,,Units per Acre,,Spaces per Unit,,Spaces per Unit,No,No,,Square Feet,,Bedrooms per Unit,,Units per Building,Not Mentioned,No,No,No,No,,Acres,,Parking Spaces Add'l to Main Unit,No,,Percent of Main Unit,,Square Feet,,Bedrooms per Unit,Not Mentioned,No,,Acres per PRD,,Units per Acre,,Units per PRD,,,1,,,
Completed,2023-08-11,Published,2023-08-11,Virginia,Virginia Beach city,Virginia Beach,,AG-2,Agricultural ,2023-06-09,,Yes,No,No,Primarily Residential,No,No,Allowed/Conditional,Prohibited,Prohibited,Prohibited,1,Acres,50,Feet,20; 30 street adjacent; 50 adjoin major ROW,Alternatives,20,Feet,15,Percent,15,Percent,2,Spaces per Unit,,N/A,35; 42 in 10+ subdivision after adoption or with setbacks 5' greater,Alternatives,,N/A,,N/A,No,No,,Acres per 2-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,,Stories,,Feet,,Ratio,,Square Feet,No,No,,Acres per 3-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,No,No,,Stories,,Feet,,Ratio,,Square Feet,,Bedrooms per Unit,No,No,,Acres per 4+-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,No,No,,Stories,,Feet,,Ratio,,Square Feet,,Bedrooms per Unit,,Units per Building,Not Mentioned,,No,,Acres per Development,,Units per Acre,,Spaces per Unit,,Spaces per Unit,No,No,,Square Feet,,Bedrooms per Unit,,Units per Building,Allowed/Conditional,No,No,Yes,No,,N/A,,Parking Spaces Add'l to Main Unit,No,30,Percent of Main Unit,500,Square Feet,,N/A,Not Mentioned,No,,Acres per PRD,,Units per Acre,,Units per PRD,"Maria - I cannot find the minimum unit size, floor-to-area ratio, or max stories allowed for housing in this district. This seems to be a common problem with VA Beach zoning. 

Audrey -- For districts with SF/1-family housing as the only allowed treatment, you will not find minimum unit size. FAR (floor-to-area) or max stories is sometimes also not included, so that is ok if you don't see it in VB or other Jurisdictions for Single Family residential districts! Also, I'm going to talk to Eric about this, but I *think* ADUS might be allowed here because of the smaller paragraph (b) below permitted uses. Don't worry about it, I'm just explaining why I added that and I'll take care of it. Once you read my response to you, just send this back for review and I'll finish it up.","The city council may grant a conditional use permit to allow residential development at a density greater than that which is permitted by right. The following regulations shall apply to residential development outside of the Interfacility Traffic Area in the AG-1 and AG-2 Agricultural Districts pursuant to this section. Max density may be 1 DU per 5 acres or 1 DU per 10 acres dependent on soil conditions. (§ 405.)

Regarding flex suites (ADUs): ""No flex suite may be constructed or occupied in any dwelling unless (i) the owner of record personally resides in such dwelling, (ii) the dwelling in which the flex suite is located is occupied by a person or group of persons meeting the definition of ""family"" set forth in section 111, or (iii) the flex suite or dwelling in which it is located is occupied by at least one (1) person who is sixty-two (62) years of age or older or disabled..."" (§ 507.(b)(3))",1,,,
Completed,2023-08-11,Published,2023-08-11,Virginia,Virginia Beach city,Virginia Beach,,AICUZ,Air Installations Compatible Use Zones,2023-07-13,,Yes,No,Yes,Overlay not Affecting Use,No,No,Overlay,Overlay,Overlay,Overlay,,Acres,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Stories,,Feet,,Ratio,,Square Feet,No,No,,Acres per 2-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,,Stories,,Feet,,Ratio,,Square Feet,No,No,,Acres per 3-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,No,No,,Stories,,Feet,,Ratio,,Square Feet,,Bedrooms per Unit,No,No,,Acres per 4+-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,No,No,,Stories,,Feet,,Ratio,,Square Feet,,Bedrooms per Unit,,Units per Building,Not Mentioned,,No,,Acres per Development,,Units per Acre,,Spaces per Unit,,Spaces per Unit,No,No,,Square Feet,,Bedrooms per Unit,,Units per Building,Not Mentioned,No,No,No,No,,Acres,,Parking Spaces Add'l to Main Unit,No,,Percent of Main Unit,,Square Feet,,Bedrooms per Unit,Not Mentioned,No,,Acres per PRD,,Units per Acre,,Units per PRD,,"The AICUZ applies only to discretionary development of any properties located within an Accident Potential Zone (APZ) or 65-70 dB DNL, 70—75 dB DNL or >75 dB DNL Noise Zone. Certain residential uses have been deemed incompatible with certain areas and applications will be denied if they are not compatible.",,,,
Completed,2023-06-27,Published,2023-08-11,Virginia,Virginia Beach city,Virginia Beach,,B-1,Business,2023-06-09,,Yes,No,No,Nonresidential,No,No,Prohibited,Prohibited,Prohibited,Prohibited,,Acres,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Stories,,Feet,,Ratio,,Square Feet,No,No,,Acres per 2-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,,Stories,,Feet,,Ratio,,Square Feet,No,No,,Acres per 3-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,No,No,,Stories,,Feet,,Ratio,,Square Feet,,Bedrooms per Unit,No,No,,Acres per 4+-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,No,No,,Stories,,Feet,,Ratio,,Square Feet,,Bedrooms per Unit,,Units per Building,Prohibited,,No,,Acres per Development,,Units per Acre,,Spaces per Unit,,Spaces per Unit,No,No,,Square Feet,,Bedrooms per Unit,,Units per Building,Prohibited,No,No,No,No,,Acres,,Parking Spaces Add'l to Main Unit,No,,Percent of Main Unit,,Square Feet,,Bedrooms per Unit,Prohibited,No,,Acres per PRD,,Units per Acre,,Units per PRD,,,,,,
Completed,2023-06-27,Published,2023-08-11,Virginia,Virginia Beach city,Virginia Beach,,B-1A,Business,2023-06-09,,Yes,No,No,Nonresidential,No,No,Prohibited,Prohibited,Prohibited,Prohibited,,Acres,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Stories,,Feet,,Ratio,,Square Feet,No,No,,Acres per 2-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,,Stories,,Feet,,Ratio,,Square Feet,No,No,,Acres per 3-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,No,No,,Stories,,Feet,,Ratio,,Square Feet,,Bedrooms per Unit,No,No,,Acres per 4+-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,No,No,,Stories,,Feet,,Ratio,,Square Feet,,Bedrooms per Unit,,Units per Building,Prohibited,,No,,Acres per Development,,Units per Acre,,Spaces per Unit,,Spaces per Unit,No,No,,Square Feet,,Bedrooms per Unit,,Units per Building,Prohibited,No,No,No,No,,Acres,,Parking Spaces Add'l to Main Unit,No,,Percent of Main Unit,,Square Feet,,Bedrooms per Unit,Prohibited,No,,Acres per PRD,,Units per Acre,,Units per PRD,,,,,,
Completed,2023-06-27,Published,2023-08-11,Virginia,Virginia Beach city,Virginia Beach,,B-2,Business,2023-06-09,,Yes,No,No,Mixed with Residential,No,No,Prohibited,Prohibited,Prohibited,Prohibited,0.01,Acres,35,Feet,n/a; 35 adjacent,Alternatives,,N/A,,N/A,,N/A,2,Spaces per Unit,,N/A,90,Feet,,N/A,,N/A,No,No,,Acres per 2-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,,Stories,,Feet,,Ratio,,Square Feet,No,No,,Acres per 3-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,No,No,,Stories,,Feet,,Ratio,,Square Feet,,Bedrooms per Unit,No,No,,Acres per 4+-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,No,No,,Stories,,Feet,,Ratio,,Square Feet,,Bedrooms per Unit,,Units per Building,Prohibited,,No,,Acres per Development,,Units per Acre,,Spaces per Unit,,Spaces per Unit,No,No,,Square Feet,,Bedrooms per Unit,,Units per Building,Prohibited,No,No,No,No,,Acres,,Parking Spaces Add'l to Main Unit,No,,Percent of Main Unit,,Square Feet,,Bedrooms per Unit,Prohibited,No,,Acres per PRD,,Units per Acre,,Units per PRD,Only allows mobile homes,,,,,
