id,jurisdiction,abbrvname,overlay,min1,min2,min3,min4,sfd,thonly
"25390",James City,M-2,FALSE, ,  ,  ,  ,  f,  f
"25394",James City,PL,FALSE, ,  ,  ,  ,  f,  f
"25380",James City,R-1,FALSE," 0.34",  ,  ,  ,  t,  f
"25391",James City,RT,FALSE, ,  ,  ,  ,  f,  f
"25381",James City,R-2,FALSE," 0.23","  0.34","  0","  0",  f,  f
"25386",James City,R-8,FALSE," 3","  3",  ,  ,  f,  f
"25387",James City,LB,FALSE, ,  ,  ,  ,  f,  f
"25389",James City,M-1,FALSE, ,  ,  ,  ,  f,  f
"25383",James City,R-4,FALSE," 0","  0","  0","  0",  f,  f
"25385",James City,R-6,FALSE," 1",  ,  ,  ,  t,  f
"25388",James City,B-1,FALSE, ,  ,  ,  ,  f,  f
"25393",James City,MU,FALSE," 0","  0","  0","  0",  f,  f
"25384",James City,R-5,FALSE," 0","  0","  0","  0",  f,  t
"25379",James City,A-1,FALSE," 20","  20",  ,  ,  f,  f
"25395",James City,EO,FALSE," 0","  0","  0","  0",  f,  t
"25396",James City,PUD-C,FALSE," 0","  0","  0","  0",  f,  t
"25392",James City,PUD-R,FALSE," 0","  0","  0","  0",  f,  f
"25382",James City,R-3,FALSE," 0","  0","  0","  0",  f,  f
"25397",James City,AA,TRUE, ,  ,  ,  ,  f,  f
"25242",Surry - Surry (town),R-3,FALSE," 0.46","  0.51","  0.56","  0.61",  f,  f
"25243",Surry - Surry (town),C-1,FALSE, ,  ,"  0","  0",  f,  f
"25241",Surry - Surry (town),R-2,FALSE," 0.46",  ,  ,  ,  t,  f
"33599",Surry - Surry (town),CB,TRUE, ,  ,  ,  ,  f,  f
"25240",Surry - Surry (town),R-1,FALSE," 0.75",  ,  ,  ,  t,  f
"25223",Surry,A-R,FALSE," 0.69","  1","  1","  1",  t,  f
"25233",Surry,CB,TRUE, ,  ,  ,  ,  f,  f
"25232",Surry,HP,TRUE, ,  ,  ,  ,  f,  f
"25231",Surry,Planned Development,FALSE," 0","  0","  0","  0",  f,  f
"25226",Surry,R-2,FALSE," 0.46","  0.69","  1","  1",  f,  f
"25227",Surry,B-1,FALSE, ,  ,  ,  ,  f,  f
"25229",Surry,M-1,FALSE, ,  ,  ,  ,  f,  f
"25230",Surry,M-2,FALSE, ,  ,  ,  ,  f,  f
"25224",Surry,RVC,FALSE," 0.18","  0.27","  1","  1",  f,  f
"25225",Surry,R-1,FALSE," 0.23","  0.34","  1","  1",  f,  f
"25228",Surry,B-2,FALSE, ,  ,  ,  ,  f,  f
"25234",Surry,Floodplain,TRUE, ,  ,  ,  ,  ,  
"25222",Surry,A-L,FALSE," 0.69",  ,  ,  ,  t,  f
"26989",Franklin (city),PERCC,FALSE," 0","  0","  0","  0",  f,  f
"25255",Franklin (city),B-1,FALSE," 0.17","  0.17",  ,  ,  f,  f
"25259",Franklin (city),B-3A,FALSE," 0.07","  0.17",  ,  ,  f,  f
"25257",Franklin (city),Office and Institutional,FALSE, ,  ,  ,  ,  f,  f
"25258",Franklin (city),B-3,FALSE, ,  ,  ,  ,  f,  f
