Jurisdiction,Min. Parking Spaces for 1BR,Min. Parking Spaces for 2BR,Min. Parking for 3BR,Visitor/Unit
Chesapeake,2,2,2,0
Franklin (city),1,1.5,1.5,0.25
Gloucester,1.5,1.5,1.5,0.33
Hampton,1,1.5,2,0.2
Isle of Wight,1,2,2.25,0.2
James City County,1.5,2.2,2.2,0
Newport News,1.5*,1.5*,1.5*,0*
Norfolk,1.5-1.75*,1.5-1.75*,1.5-1.75*,0*
Poquoson city,1.5,2,2,0.25
Portsmouth,1.5,1.5,1.5,0
Smithfield,2,2,2,0.33
Southampton,1.5,1.5,1.5,0
Suffolk,1,1,1,0
Surry,2,2.25,2.5,0.33
Surry (town),,,,
Virginia Beach,"2, 1.75 in excess of 50 units","2, 1.75 in excess of 50 units","2, 1.75 in excess of 50 units",0
Williamsburg,1.25,1.5,1.5,0.25
Windsor,2,2,2,0
York,1.5,1.5,1.5,0.33
