Jurisdiction,2020 Base,2020,2021,2022
Virginia,"3,618,245","3,624,514","3,652,131","3,685,322"
".Accomack County, Virginia","21,703","21,713","21,870","22,044"
".Albemarle County, Virginia","47,292","47,507","48,414","49,210"
".Alleghany County, Virginia","7,933","7,931","7,922","7,910"
".Amelia County, Virginia","5,704","5,717","5,770","5,827"
".Amherst County, Virginia","14,232","14,237","14,286","14,336"
".Appomattox County, Virginia","7,301","7,317","7,384","7,441"
".Arlington County, Virginia","119,085","119,183","119,443","122,446"
".Augusta County, Virginia","32,590","32,670","32,941","33,138"
".Bath County, Virginia","3,239","3,239","3,240","3,252"
".Bedford County, Virginia","37,251","37,253","37,362","37,466"
".Bland County, Virginia","3,200","3,205","3,211","3,214"
".Botetourt County, Virginia","14,889","14,909","15,019","15,090"
".Brunswick County, Virginia","7,892","7,890","7,917","7,953"
".Buchanan County, Virginia","10,321","10,320","10,325","10,330"
".Buckingham County, Virginia","7,134","7,145","7,192","7,273"
".Campbell County, Virginia","25,058","25,069","25,314","25,560"
".Caroline County, Virginia","12,415","12,438","12,611","12,943"
".Carroll County, Virginia","16,579","16,573","16,620","16,680"
".Charles City County, Virginia","3,245","3,249","3,265","3,284"
".Charlotte County, Virginia","5,956","5,957","5,963","5,979"
".Chesterfield County, Virginia","138,690","139,429","142,333","145,968"
".Clarke County, Virginia","6,373","6,411","6,473","6,572"
".Craig County, Virginia","2,584","2,585","2,590","2,610"
".Culpeper County, Virginia","19,185","19,246","19,566","19,772"
".Cumberland County, Virginia","4,636","4,643","4,678","4,732"
".Dickenson County, Virginia","7,345","7,343","7,346","7,348"
".Dinwiddie County, Virginia","11,803","11,821","11,907","11,987"
".Essex County, Virginia","5,742","5,748","5,776","5,812"
".Fairfax County, Virginia","427,148","427,500","428,425","429,828"
".Fauquier County, Virginia","28,246","28,283","28,433","28,633"
".Floyd County, Virginia","7,925","7,928","7,957","7,953"
".Fluvanna County, Virginia","11,127","11,154","11,296","11,468"
".Franklin County, Virginia","28,129","28,151","28,277","28,424"
".Frederick County, Virginia","35,827","36,005","36,636","37,281"
".Giles County, Virginia","8,286","8,289","8,314","8,328"
".Gloucester County, Virginia","17,049","17,067","17,185","17,331"
".Goochland County, Virginia","10,550","10,600","10,885","11,224"
".Grayson County, Virginia","8,924","8,927","8,945","8,967"
".Greene County, Virginia","8,464","8,503","8,768","8,868"
".Greensville County, Virginia","4,001","4,003","4,008","4,018"
".Halifax County, Virginia","17,276","17,288","17,358","17,437"
".Hanover County, Virginia","43,181","43,408","44,031","44,756"
".Henrico County, Virginia","140,736","141,107","142,759","144,693"
".Henry County, Virginia","25,418","25,414","25,409","25,412"
".Highland County, Virginia","1,787","1,789","1,796","1,803"
".Isle of Wight County, Virginia","16,442","16,486","16,757","17,085"
".James City County, Virginia","33,993","34,062","34,404","34,723"
".King and Queen County, Virginia","3,454","3,459","3,481","3,500"
".King George County, Virginia","10,322","10,356","10,506","10,723"
".King William County, Virginia","7,402","7,428","7,583","7,768"
".Lancaster County, Virginia","7,448","7,450","7,464","7,496"
".Lee County, Virginia","10,836","10,834","10,844","10,847"
".Loudoun County, Virginia","142,073","142,770","145,113","147,085"
".Louisa County, Virginia","17,495","17,557","17,968","18,460"
".Lunenburg County, Virginia","5,868","5,868","5,882","5,917"
".Madison County, Virginia","6,052","6,063","6,091","6,153"
".Mathews County, Virginia","5,455","5,454","5,473","5,505"
".Mecklenburg County, Virginia","19,005","19,025","19,136","19,306"
".Middlesex County, Virginia","7,100","7,106","7,131","7,173"
".Montgomery County, Virginia","41,134","41,251","42,805","43,055"
".Nelson County, Virginia","9,869","9,876","9,935","10,004"
".New Kent County, Virginia","9,059","9,102","9,408","9,847"
".Northampton County, Virginia","7,373","7,386","7,428","7,517"
".Northumberland County, Virginia","8,947","8,955","8,992","9,041"
".Nottoway County, Virginia","6,629","6,642","6,686","6,730"
".Orange County, Virginia","15,638","15,693","15,872","16,108"
".Page County, Virginia","11,751","11,762","11,820","11,937"
".Patrick County, Virginia","9,994","9,995","9,988","10,012"
".Pittsylvania County, Virginia","29,371","29,374","29,407","29,448"
".Powhatan County, Virginia","11,592","11,647","11,840","12,039"
".Prince Edward County, Virginia","9,087","9,095","9,142","9,229"
".Prince George County, Virginia","13,376","13,390","13,438","13,500"
".Prince William County, Virginia","158,526","158,846","160,104","162,116"
".Pulaski County, Virginia","16,990","16,992","17,021","17,041"
".Rappahannock County, Virginia","3,827","3,830","3,842","3,861"
".Richmond County, Virginia","3,932","3,936","3,952","3,972"
".Roanoke County, Virginia","42,149","42,169","42,255","42,369"
".Rockbridge County, Virginia","11,261","11,272","11,306","11,346"
".Rockingham County, Virginia","35,441","35,495","35,970","36,530"
".Russell County, Virginia","12,753","12,753","12,759","12,767"
".Scott County, Virginia","11,764","11,762","11,764","11,780"
".Shenandoah County, Virginia","21,136","21,154","21,249","21,401"
".Smyth County, Virginia","15,097","15,094","15,087","15,080"
".Southampton County, Virginia","7,724","7,730","7,761","7,799"
".Spotsylvania County, Virginia","52,282","52,589","53,933","55,490"
".Stafford County, Virginia","52,794","53,004","53,907","54,829"
".Surry County, Virginia","3,402","3,406","3,426","3,451"
".Sussex County, Virginia","4,636","4,644","4,675","4,702"
".Tazewell County, Virginia","19,814","19,808","19,790","19,772"
".Warren County, Virginia","16,737","16,765","16,922","17,088"
".Washington County, Virginia","25,425","25,432","25,490","25,562"
".Westmoreland County, Virginia","11,129","11,148","11,243","11,426"
".Wise County, Virginia","16,640","16,637","16,633","16,627"
".Wythe County, Virginia","13,990","13,995","14,017","14,039"
".York County, Virginia","27,829","27,884","28,134","28,582"
".Alexandria city, Virginia","80,478","80,440","80,357","80,361"
".Bristol city, Virginia","8,670","8,665","8,644","8,621"
".Buena Vista city, Virginia","2,948","2,948","2,949","2,948"
".Charlottesville city, Virginia","21,413","21,419","21,552","21,687"
".Chesapeake city, Virginia","94,825","95,034","96,021","97,265"
".Colonial Heights city, Virginia","8,147","8,143","8,129","8,123"
".Covington city, Virginia","3,053","3,051","3,043","3,036"
".Danville city, Virginia","22,259","22,242","22,186","22,363"
".Emporia city, Virginia","2,647","2,646","2,642","2,642"
".Fairfax city, Virginia","9,330","9,328","9,317","9,308"
".Falls Church city, Virginia","6,173","6,253","6,251","6,254"
".Franklin city, Virginia","3,886","3,888","3,899","3,914"
".Fredericksburg city, Virginia","12,174","12,233","12,308","12,421"
".Galax city, Virginia","3,156","3,154","3,155","3,157"
".Hampton city, Virginia","62,446","62,454","62,533","62,639"
".Harrisonburg city, Virginia","18,621","18,630","18,660","18,664"
".Hopewell city, Virginia","10,409","10,416","10,466","10,457"
".Lexington city, Virginia","2,617","2,617","2,618","2,620"
".Lynchburg city, Virginia","33,831","33,886","34,152","34,204"
".Manassas city, Virginia","14,364","14,386","14,440","14,516"
".Manassas Park city, Virginia","5,525","5,523","5,516","5,522"
".Martinsville city, Virginia","7,053","7,047","7,029","7,010"
".Newport News city, Virginia","81,899","81,910","81,918","81,866"
".Norfolk city, Virginia","101,386","101,505","102,410","103,588"
".Norton city, Virginia","1,937","1,936","1,932","1,928"
".Petersburg city, Virginia","18,016","18,004","18,017","18,082"
".Poquoson city, Virginia","4,926","4,930","4,945","4,954"
".Portsmouth city, Virginia","43,163","43,152","43,312","43,388"
".Radford city, Virginia","6,448","6,449","6,458","6,451"
".Richmond city, Virginia","111,967","112,157","112,795","113,481"
".Roanoke city, Virginia","48,726","48,749","48,912","49,150"
".Salem city, Virginia","11,125","11,126","11,101","11,076"
".Staunton city, Virginia","12,317","12,317","12,333","12,362"
".Suffolk city, Virginia","38,364","38,518","39,551","40,847"
".Virginia Beach city, Virginia","190,061","190,322","190,980","191,161"
".Waynesboro city, Virginia","10,268","10,315","10,416","10,490"
".Williamsburg city, Virginia","5,751","5,755","5,773","5,795"
".Winchester city, Virginia","12,372","12,371","12,357","12,532"
