FID,LAT,LON,NCESSCH_1,JOIN_NUM,SCH_CAT,YEAR,PER_INEX_T,PER_OOF_T,NUM_MAST,NUM_DOCT,PER_PROV,BLKSTU_CI,NUM_BLKLTS,PER_PROF,PER_ADV,PER_FAIL,PER_BLK_AP,PER_ALL_AP,C_BELOW10,C_ABOVE10,P_BELOW10,P_ABOVE10,PER_DROP,PER_ADVDIP,PER_EC_DIS,PER_ELL,PER_BLK_LA,PER_WH_AS,NUM_BLKSTU,BLKSTU_RR,Year,SCH_DIV,FED_SCHDIV,DIV_NUM,DIV_NAME,SCH_NUM,SCH_NAME
0,37.407,-77.623,5.10084E+11,21632,High,2022 - 2023,4.8,4.2,60,0,11.4,1.726962457,7,0,0,0,24.58678,22.04007,1615,476,77.2,22.8,8.1,48.6,36,4,46,48,641,1.092043682,2021-2022,Manchester HighChesterfield County Public Schools,Manchester HighChesterfield County Public Schools,21,Chesterfield County,632,Manchester High
1,37.44794,-77.64003,5.10084E+11,21740,High,2022 - 2023,4.1,2.4,58,0,5.7,2.207843137,7,0,0,0,11.78707,29.6338,1346,388,77.6,22.4,3.5,62.7,29,3,39,55,452,1.548672566,2021-2022,Clover Hill HighChesterfield County Public Schools,Clover Hill HighChesterfield County Public Schools,21,Chesterfield County,740,Clover Hill High
2,37.3886,-77.4946,5.10084E+11,2110,High,2022 - 2023,6.3,7,58,3,10.5,1.365,20,0,0,0,34.57143,17.21594,1273,676,65.3,34.7,9.3,44.5,47,9,68,28,813,2.4600246,2021-2022,Lloyd C. Bird HighChesterfield County Public Schools,Lloyd C. Bird HighChesterfield County Public Schools,21,Chesterfield County,10,Lloyd C. Bird High
3,37.2773,-77.4673,5.10084E+11,21530,High,2022 - 2023,5.1,6.8,51,2,6.8,1.631707317,10,0,0,0,28.15884,16.9212,1247,315,79.8,20.2,3.6,58.7,37,2,49,45,668,1.497005988,2021-2022,Matoaca HighChesterfield County Public Schools,Matoaca HighChesterfield County Public Schools,21,Chesterfield County,530,Matoaca High
4,37.4357,-77.4836,5.10084E+11,21580,High,2022 - 2023,5.3,10,50,3,15.3,1.418269231,29,0,0,0,50.20747,11.8544,1224,730,62.6,37.4,15.1,32.5,52,20,91,7,846,3.427895981,2021-2022,Meadowbrook HighChesterfield County Public Schools,Meadowbrook HighChesterfield County Public Schools,21,Chesterfield County,580,Meadowbrook High
5,37.3621,-77.4367,5.10084E+11,21610,High,2022 - 2023,5.4,6.5,48,3,7.6,1.588888889,6,0,0,0,28,17.5644,1805,640,73.8,26.2,5.2,53,39,5,56,39,921,0.651465798,2021-2022,Thomas Dale HighChesterfield County Public Schools,Thomas Dale HighChesterfield County Public Schools,21,Chesterfield County,610,Thomas Dale High
6,37.5526,-77.6493,5.10084E+11,21770,High,2022 - 2023,2.4,3.9,58,2,3.9,1.826666667,1,0,0,0,7.714702,35.61431,1407,400,77.9,22.1,5.1,63.5,31,7,36,59,288,0.347222222,2021-2022,James River HighChesterfield County Public Schools,James River HighChesterfield County Public Schools,21,Chesterfield County,770,James River High
7,37.479,-77.6133,5.10084E+11,21280,High,2022 - 2023,0.9,2.7,52,3,7.2,1.47639485,6,0,0,0,14.28571,30.02451,1166,394,74.7,25.3,5.8,59.9,34,4,40,55,380,1.578947368,2021-2022,Monacan HighChesterfield County Public Schools,Monacan HighChesterfield County Public Schools,21,Chesterfield County,280,Monacan High
8,37.496,-77.6603,5.10084E+11,21320,High,2022 - 2023,2.9,1.5,52,3,5.1,2.651376147,,0,0,0,5.698779,36.03912,1685,261,86.6,13.4,2.3,75.2,14,1,17,79,223,0,2021-2022,Midlothian HighChesterfield County Public Schools,Midlothian HighChesterfield County Public Schools,21,Chesterfield County,320,Midlothian High
9,37.4062,-77.7028,5.10084E+11,21840,High,2022 - 2023,0.7,0.7,63,3,1.3,1.657894737,1,0,0,0,12.76006,30.20528,2033,253,88.9,11.1,0.9,75.2,14,1,24,72,362,0.276243094,2021-2022,Cosby HighChesterfield County Public Schools,Cosby HighChesterfield County Public Schools,21,Chesterfield County,840,Cosby High
10,37.7004,-77.8971,5.10165E+11,37220,High,2022 - 2023,0,3.8,59,2,7.6,1.924657534,1,0,0,0,6.451613,24.38202,809,79,91.1,8.9,2.2,76.6,28,1,22,72,130,0.769230769,2021-2022,Goochland HighGoochland County Public Schools,Goochland HighGoochland County Public Schools,37,Goochland County,220,Goochland High
11,37.6648,-77.4104,5.10183E+11,4262,High,2022 - 2023,5.5,1.8,71,2,4.5,2.166666667,2,0,0,0,4.697987,29.29227,1401,111,92.7,7.3,0.3,75.3,20,1,12,83,110,1.818181818,2021-2022,Atlee HighHanover County Public Schools,Atlee HighHanover County Public Schools,42,Hanover County,62,Atlee High
12,37.6127,-77.3404,5.10183E+11,42370,High,2022 - 2023,3.8,0,68,3,8.6,2.340659341,2,0,0,0,3.191489,20.82718,1169,165,87.6,12.4,1.7,56.8,36,2,15,79,123,1.62601626,2021-2022,Mechanicsville HighHanover County Public Schools,Mechanicsville HighHanover County Public Schools,42,Hanover County,370,Mechanicsville High
13,37.786,-77.5341,5.10183E+11,42400,High,2022 - 2023,2.8,0.9,65,2,8.3,1.4609375,3,0,0,0,6.769231,24.56538,1147,158,87.9,12.1,7.3,58.4,39,3,26,70,169,1.775147929,2021-2022,Patrick Henry HighHanover County Public Schools,Patrick Henry HighHanover County Public Schools,42,Hanover County,400,Patrick Henry High
14,37.6886,-77.3852,5.10183E+11,42554,High,2022 - 2023,5.4,3.6,57,2,9,2.039473684,1,0,0,0,5.681818,24.66713,1259,126,90.9,9.1,3.2,69.8,21,1,12,83,108,0.925925926,2021-2022,Hanover HighHanover County Public Schools,Hanover HighHanover County Public Schools,42,Hanover County,554,Hanover High
