state,fips_state,fips_locality,fips_full,name_long,name_short,cbsa_code,metropolitan_div_code,cbsa_title,central_outlying,metro_micro_nonmetro
Virginia,51,195,51195,Wise County,Wise,13720,,"Big Stone Gap, VA",Central,Micropolitan Statistical Area
Virginia,51,720,51720,Norton City,Norton,13720,,"Big Stone Gap, VA",Central,Micropolitan Statistical Area
Virginia,51,071,51071,Giles County,Giles,13980,,"Blacksburg-Christiansburg, VA",Outlying,Metropolitan Statistical Area
Virginia,51,121,51121,Montgomery County,Montgomery,13980,,"Blacksburg-Christiansburg, VA",Central,Metropolitan Statistical Area
Virginia,51,155,51155,Pulaski County,Pulaski,13980,,"Blacksburg-Christiansburg, VA",Outlying,Metropolitan Statistical Area
Virginia,51,750,51750,Radford City,Radford,13980,,"Blacksburg-Christiansburg, VA",Central,Metropolitan Statistical Area
Virginia,51,021,51021,Bland County,Bland,14140,,"Bluefield, WV-VA",Outlying,Micropolitan Statistical Area
Virginia,51,185,51185,Tazewell County,Tazewell,14140,,"Bluefield, WV-VA",Central,Micropolitan Statistical Area
Virginia,51,003,51003,Albemarle County,Albemarle,16820,,"Charlottesville, VA",Central,Metropolitan Statistical Area
Virginia,51,065,51065,Fluvanna County,Fluvanna,16820,,"Charlottesville, VA",Outlying,Metropolitan Statistical Area
Virginia,51,079,51079,Greene County,Greene,16820,,"Charlottesville, VA",Outlying,Metropolitan Statistical Area
Virginia,51,125,51125,Nelson County,Nelson,16820,,"Charlottesville, VA",Outlying,Metropolitan Statistical Area
Virginia,51,540,51540,Charlottesville City,Charlottesville,16820,,"Charlottesville, VA",Central,Metropolitan Statistical Area
Virginia,51,143,51143,Pittsylvania County,Pittsylvania,19260,,"Danville, VA",Central,Micropolitan Statistical Area
Virginia,51,590,51590,Danville City,Danville,19260,,"Danville, VA",Central,Micropolitan Statistical Area
Virginia,51,165,51165,Rockingham County,Rockingham,25500,,"Harrisonburg, VA",Central,Metropolitan Statistical Area
Virginia,51,660,51660,Harrisonburg City,Harrisonburg,25500,,"Harrisonburg, VA",Central,Metropolitan Statistical Area
Virginia,51,169,51169,Scott County,Scott,28700,,"Kingsport-Bristol, TN-VA",Outlying,Metropolitan Statistical Area
Virginia,51,191,51191,Washington County,Washington,28700,,"Kingsport-Bristol, TN-VA",Outlying,Metropolitan Statistical Area
Virginia,51,520,51520,Bristol City,Bristol,28700,,"Kingsport-Bristol, TN-VA",Outlying,Metropolitan Statistical Area
Virginia,51,009,51009,Amherst County,Amherst,31340,,"Lynchburg, VA",Central,Metropolitan Statistical Area
Virginia,51,011,51011,Appomattox County,Appomattox,31340,,"Lynchburg, VA",Outlying,Metropolitan Statistical Area
Virginia,51,019,51019,Bedford County,Bedford,31340,,"Lynchburg, VA",Central,Metropolitan Statistical Area
Virginia,51,031,51031,Campbell County,Campbell,31340,,"Lynchburg, VA",Central,Metropolitan Statistical Area
Virginia,51,680,51680,Lynchburg City,Lynchburg,31340,,"Lynchburg, VA",Central,Metropolitan Statistical Area
Virginia,51,089,51089,Henry County,Henry,32300,,"Martinsville, VA",Central,Micropolitan Statistical Area
Virginia,51,690,51690,Martinsville City,Martinsville,32300,,"Martinsville, VA",Central,Micropolitan Statistical Area
Virginia,51,007,51007,Amelia County,Amelia,40060,,"Richmond, VA",Outlying,Metropolitan Statistical Area
Virginia,51,036,51036,Charles City County,Charles City,40060,,"Richmond, VA",Outlying,Metropolitan Statistical Area
Virginia,51,041,51041,Chesterfield County,Chesterfield ,40060,,"Richmond, VA",Central,Metropolitan Statistical Area
Virginia,51,053,51053,Dinwiddie County,Dinwiddie,40060,,"Richmond, VA",Central,Metropolitan Statistical Area
