jurisdiction,total_acres,acres,pct
Alexandria,4149.673625894336,969.824581269958,0.23371105024216016
Arlington,16693.73700826114,8293.479767276809,0.49680187025665123
Dumfries,985.048068845393,202.49291644850425,0.20556653309909312
Fairfax,240515.47276852423,214109.88538471705,0.8902125211328075
Fairfax (city),3453.470267692538,2674.4069395797164,0.774411456383159
Falls Church,1101.3079904498463,947.929036107076,0.8607301902167074
Haymarket,367.6967206746269,244.54751441523507,0.6650794001277864
Herndon,2735.8095357376997,1335.058121649607,0.4879938110492821
Leesburg,8096.830895236727,3030.2438004965525,0.3742505975120723
Loudoun,321522.673057637,276720.0976508445,0.8606550045733132
Lovettsville,533.9838567921689,445.8799512946518,0.8350064250503964
Manassas,5505.934586295134,11.541255851072322,0.0020961483777522084
Middleburg,664.0920226721596,459.6016887900556,0.6920753044747021
Prince William,219629.91208252104,1931.5877995184742,0.008794739210170622
Purcellville,2183.7452877341852,181.7283743473437,0.08321866811486141
Round Hill,236.69222664409463,202.20021627013665,0.8542748493983187
Vienna,2702.5027632217802,139.369152456058,0.05157040146368232
