fips,year,type,bldgs,units,name_long,locality_type
51013,2010,1-unit,286,286,Arlington County,County
51013,2010,2-units,0,0,Arlington County,County
51013,2010,3-4 units,0,0,Arlington County,County
51013,2010,5+ units,4,589,Arlington County,County
51059,2010,1-unit,896,896,Fairfax County,County
51059,2010,2-units,0,0,Fairfax County,County
51059,2010,3-4 units,0,0,Fairfax County,County
51059,2010,5+ units,0,0,Fairfax County,County
51107,2010,1-unit,1840,1840,Loudoun County,County
51107,2010,2-units,0,0,Loudoun County,County
51107,2010,3-4 units,1,4,Loudoun County,County
51107,2010,5+ units,21,197,Loudoun County,County
51153,2010,1-unit,1602,1602,Prince William County,County
51153,2010,2-units,0,0,Prince William County,County
51153,2010,3-4 units,0,0,Prince William County,County
51153,2010,5+ units,15,490,Prince William County,County
51510,2010,1-unit,65,65,Alexandria City,City
51510,2010,2-units,0,0,Alexandria City,City
51510,2010,3-4 units,0,0,Alexandria City,City
51510,2010,5+ units,6,403,Alexandria City,City
51600,2010,1-unit,22,22,Fairfax City,City
51600,2010,2-units,0,0,Fairfax City,City
51600,2010,3-4 units,0,0,Fairfax City,City
51600,2010,5+ units,0,0,Fairfax City,City
51610,2010,1-unit,24,24,Falls Church City,City
51610,2010,2-units,0,0,Falls Church City,City
51610,2010,3-4 units,0,0,Falls Church City,City
51610,2010,5+ units,0,0,Falls Church City,City
51683,2010,1-unit,52,52,Manassas City,City
51683,2010,2-units,0,0,Manassas City,City
51683,2010,3-4 units,0,0,Manassas City,City
51683,2010,5+ units,0,0,Manassas City,City
51685,2010,1-unit,0,0,Manassas Park City,City
51685,2010,2-units,0,0,Manassas Park City,City
51685,2010,3-4 units,0,0,Manassas Park City,City
51685,2010,5+ units,0,0,Manassas Park City,City
51013,2011,1-unit,193,193,Arlington County,County
51013,2011,2-units,0,0,Arlington County,County
51013,2011,3-4 units,0,0,Arlington County,County
51013,2011,5+ units,11,1752,Arlington County,County
51059,2011,1-unit,785,785,Fairfax County,County
51059,2011,2-units,0,0,Fairfax County,County
51059,2011,3-4 units,0,0,Fairfax County,County
51059,2011,5+ units,0,0,Fairfax County,County
51107,2011,1-unit,2350,2350,Loudoun County,County
51107,2011,2-units,13,26,Loudoun County,County
51107,2011,3-4 units,0,0,Loudoun County,County
51107,2011,5+ units,34,694,Loudoun County,County
51153,2011,1-unit,1251,1251,Prince William County,County
51153,2011,2-units,0,0,Prince William County,County
51153,2011,3-4 units,0,0,Prince William County,County
51153,2011,5+ units,21,294,Prince William County,County
51510,2011,1-unit,105,105,Alexandria City,City
51510,2011,2-units,0,0,Alexandria City,City
51510,2011,3-4 units,4,12,Alexandria City,City
51510,2011,5+ units,6,642,Alexandria City,City
51600,2011,1-unit,52,52,Fairfax City,City
51600,2011,2-units,0,0,Fairfax City,City
51600,2011,3-4 units,0,0,Fairfax City,City
51600,2011,5+ units,0,0,Fairfax City,City
