jurisdiction,abbrvname,overlay,family1_treatment,family2_treatment,family3_treatment,family4_treatment,acres,total_acres,total_4plus,pct4plus
Dumfries,R-3,FALSE,allowed,allowed,allowed,allowed,128.57951478722495,659660.6761264754,62782.85890365281,0.09517447556873251
Dumfries,B-2,FALSE,prohibited,allowed,allowed,allowed,52.376983693621725,659660.6761264754,62782.85890365281,0.09517447556873251
Haymarket,R-2,FALSE,allowed,allowed,allowed,allowed,38.593141027094944,659660.6761264754,62782.85890365281,0.09517447556873251
Occoquan,R-4,FALSE,prohibited,allowed,allowed,allowed,3.6703009862028204,659660.6761264754,62782.85890365281,0.09517447556873251
Prince William,R-16,FALSE,allowed,prohibited,allowed,allowed,2123.4825181000447,659660.6761264754,62782.85890365281,0.09517447556873251
Prince William,R-30,FALSE,prohibited,prohibited,allowed,allowed,44.769012942099465,659660.6761264754,62782.85890365281,0.09517447556873251
Prince William,PMD,FALSE,allowed,allowed,allowed,allowed,1387.3963286707803,659660.6761264754,62782.85890365281,0.09517447556873251
Prince William,PMR,FALSE,allowed,allowed,allowed,allowed,6969.251980116345,659660.6761264754,62782.85890365281,0.09517447556873251
Prince William,V,FALSE,hearing,allowed,allowed,allowed,27.743075870245555,659660.6761264754,62782.85890365281,0.09517447556873251
Prince William,RPC,FALSE,allowed,allowed,allowed,allowed,14071.563659891344,659660.6761264754,62782.85890365281,0.09517447556873251
Arlington,RA6-15,FALSE,allowed,allowed,allowed,allowed,317.92113095888647,659660.6761264754,62782.85890365281,0.09517447556873251
Arlington,R-6,FALSE,allowed,allowed,allowed,allowed,3540.968092434257,659660.6761264754,62782.85890365281,0.09517447556873251
Arlington,RA14-26,FALSE,allowed,allowed,allowed,allowed,629.2105435254297,659660.6761264754,62782.85890365281,0.09517447556873251
Arlington,R-10,FALSE,allowed,allowed,allowed,allowed,1649.8986720333157,659660.6761264754,62782.85890365281,0.09517447556873251
Arlington,C-TH,FALSE,allowed,allowed,allowed,allowed,4.5456627956745885,659660.6761264754,62782.85890365281,0.09517447556873251
Arlington,C-R,FALSE,allowed,allowed,allowed,allowed,9.476341871428811,659660.6761264754,62782.85890365281,0.09517447556873251
Arlington,R-20,FALSE,allowed,allowed,allowed,allowed,214.0617460929103,659660.6761264754,62782.85890365281,0.09517447556873251
Arlington,R-8,FALSE,allowed,allowed,allowed,allowed,440.40986173641414,659660.6761264754,62782.85890365281,0.09517447556873251
Arlington,R-5,FALSE,allowed,allowed,allowed,allowed,370.4977822859559,659660.6761264754,62782.85890365281,0.09517447556873251
Arlington,RA8-18,FALSE,allowed,allowed,allowed,allowed,423.1073790977152,659660.6761264754,62782.85890365281,0.09517447556873251
Arlington,CP-FBC,FALSE,allowed,allowed,allowed,allowed,2.6444549439098255,659660.6761264754,62782.85890365281,0.09517447556873251
Arlington,RA-H,FALSE,allowed,allowed,allowed,allowed,25.90391993645831,659660.6761264754,62782.85890365281,0.09517447556873251
Arlington,RA-H-3.2,FALSE,allowed,allowed,allowed,allowed,51.76363997826084,659660.6761264754,62782.85890365281,0.09517447556873251
Manassas Park,MU,FALSE,prohibited,allowed,allowed,allowed,15.95359683025678,659660.6761264754,62782.85890365281,0.09517447556873251
Manassas Park,PUD,FALSE,allowed,allowed,allowed,allowed,420.6809678422692,659660.6761264754,62782.85890365281,0.09517447556873251
Manassas Park,R-2,FALSE,allowed,allowed,allowed,allowed,88.16896940846107,659660.6761264754,62782.85890365281,0.09517447556873251
Vienna,RM-2,FALSE,allowed,allowed,allowed,allowed,31.96775002906325,659660.6761264754,62782.85890365281,0.09517447556873251
Vienna,C-1B,FALSE,prohibited,allowed,allowed,allowed,10.006117160959382,659660.6761264754,62782.85890365281,0.09517447556873251
Vienna,MAC,FALSE,prohibited,allowed,allowed,allowed,5.920596176237336,659660.6761264754,62782.85890365281,0.09517447556873251
Vienna,C-1,FALSE,prohibited,allowed,allowed,allowed,38.48176140447187,659660.6761264754,62782.85890365281,0.09517447556873251
Vienna,C-1A,FALSE,prohibited,allowed,allowed,allowed,22.41869469919495,659660.6761264754,62782.85890365281,0.09517447556873251
Vienna,C-2,FALSE,prohibited,allowed,allowed,allowed,37.52047811542529,659660.6761264754,62782.85890365281,0.09517447556873251
Herndon,CC,FALSE,prohibited,prohibited,allowed,allowed,12.072687874718655,659660.6761264754,62782.85890365281,0.09517447556873251
Herndon,RM,FALSE,allowed,allowed,allowed,allowed,93.0709099638956,659660.6761264754,62782.85890365281,0.09517447556873251
Fairfax,PDH-5,FALSE,allowed,allowed,allowed,allowed,815.2375090493914,659660.6761264754,62782.85890365281,0.09517447556873251
Fairfax,PDH-30,FALSE,allowed,allowed,allowed,allowed,188.87884570017886,659660.6761264754,62782.85890365281,0.09517447556873251
Fairfax,PRM,FALSE,allowed,allowed,allowed,allowed,487.91409104056856,659660.6761264754,62782.85890365281,0.09517447556873251
Fairfax,PDH-12,FALSE,allowed,allowed,allowed,allowed,1009.7122733255383,659660.6761264754,62782.85890365281,0.09517447556873251
Fairfax,PDH-16,FALSE,allowed,allowed,allowed,allowed,452.61016099787656,659660.6761264754,62782.85890365281,0.09517447556873251
Fairfax,R-12,FALSE,allowed,allowed,allowed,allowed,727.6791361104135,659660.6761264754,62782.85890365281,0.09517447556873251
Fairfax,R-5,FALSE,allowed,allowed,allowed,allowed,2328.1098366425913,659660.6761264754,62782.85890365281,0.09517447556873251
Fairfax,R-8,FALSE,allowed,allowed,allowed,allowed,2470.1070581970553,659660.6761264754,62782.85890365281,0.09517447556873251
Fairfax,R-30,FALSE,allowed,allowed,allowed,allowed,265.53827954045533,659660.6761264754,62782.85890365281,0.09517447556873251
Fairfax,PTC,FALSE,allowed,allowed,allowed,allowed,315.4453604858559,659660.6761264754,62782.85890365281,0.09517447556873251
Fairfax,PDH-40,FALSE,prohibited,allowed,allowed,allowed,61.79653214904882,659660.6761264754,62782.85890365281,0.09517447556873251
Fairfax,PRC,FALSE,allowed,prohibited,allowed,allowed,7120.768794279149,659660.6761264754,62782.85890365281,0.09517447556873251
Fairfax,R-16,FALSE,allowed,allowed,allowed,allowed,39.54111432252573,659660.6761264754,62782.85890365281,0.09517447556873251
Fairfax,R-20,FALSE,allowed,allowed,allowed,allowed,2382.964118590787,659660.6761264754,62782.85890365281,0.09517447556873251
Fairfax,PDH-20,FALSE,allowed,allowed,allowed,allowed,451.53797447551835,659660.6761264754,62782.85890365281,0.09517447556873251
