jurisdiction,family1_byright,family2_byright,family3_byright,family4_byright
Alexandria,70%,75%,67%,68%
Arlington,96%,74%,73%,73%
Clifton,100%,0%,0%,0%
Dumfries,69%,59%,23%,23%
Fairfax,91%,33%,11%,11%
Fairfax (city),67%,6%,6%,6%
Falls Church,83%,34%,14%,14%
Hamilton,100%,2%,0%,0%
Haymarket,50%,50%,14%,14%
Herndon,58%,11%,5%,5%
Hillsboro,100%,0%,0%,0%
Leesburg,75%,38%,38%,38%
Loudoun,84%,1%,1%,1%
Lovettsville,70%,6%,5%,5%
Manassas,55%,14%,9%,9%
Manassas Park,54%,33%,33%,33%
Middleburg,98%,14%,10%,10%
Occoquan,72%,44%,4%,4%
Prince William,90%,15%,16%,16%
Purcellville,68%,12%,5%,5%
Round Hill,86%,11%,10%,10%
Vienna,89%,7%,7%,7%
