jurisdiction,max,metric,avg
Clifton,NA,Minimum value,2.62
Clifton,NA,Maximum value,NA
Fairfax,1.2,Minimum value,0.95
Fairfax,1.2,Maximum value,1.2
Fairfax (city),NA,Minimum value,0.26
Fairfax (city),NA,Maximum value,NA
Falls Church,NA,Minimum value,0.26
Falls Church,NA,Maximum value,NA
Hamilton,0.92,Minimum value,0.79
Hamilton,0.92,Maximum value,0.92
Hillsboro,NA,Minimum value,3
Hillsboro,NA,Maximum value,NA
Leesburg,1.17,Minimum value,1.17
Leesburg,1.17,Maximum value,1.17
Loudoun,7.1,Minimum value,2.67
Loudoun,7.1,Maximum value,7.1
Lovettsville,0.19,Minimum value,0.16
Lovettsville,0.19,Maximum value,0.19
Manassas,NA,Minimum value,0.39
Manassas,NA,Maximum value,NA
Manassas Park,1,Minimum value,0.6
Manassas Park,1,Maximum value,1
Middleburg,20,Minimum value,0.23
Middleburg,20,Maximum value,20
Occoquan,NA,Minimum value,0.23
Occoquan,NA,Maximum value,NA
Prince William,0.72,Minimum value,1.85
Prince William,0.72,Maximum value,0.72
Purcellville,1.21,Minimum value,1.17
Purcellville,1.21,Maximum value,1.21
Round Hill,NA,Minimum value,0.33
Round Hill,NA,Maximum value,NA
Vienna,NA,Minimum value,0.3
Vienna,NA,Maximum value,NA
