jurisdiction,metric,avg
Arlington County,Minimum value,0.86
Clifton,Minimum value,2.62
Dumfries,Minimum value,0.34
Fairfax County,Minimum value,0.95
Fairfax (city),Minimum value,0.26
Falls Church,Minimum value,0.26
Hamilton,Minimum value,0.49
Herndon,Minimum value,0.29
Hillsboro,Minimum value,3
Leesburg,Minimum value,1.17
Loudoun County,Minimum value,2.15
Lovettsville,Minimum value,0.16
Manassas,Minimum value,0.39
Manassas Park,Minimum value,0.6
Middleburg,Minimum value,0.23
Occoquan,Minimum value,0.23
Prince William County,Minimum value,2.25
Purcellville,Minimum value,1.17
Round Hill,Minimum value,6.92
Vienna,Minimum value,0.3
