jurisdiction,sfd,acres,percent,total_nova
Arlington County,t,983.3051399467608,0.09971999941999118,659660.6761264754
Clifton,t,144.37911091169548,0.9970265114349086,659660.6761264754
Dumfries,t,132.81587922083497,0.16832016196187233,659660.6761264754
Fairfax County,t,127531.1301331139,0.757104888707363,659660.6761264754
Fairfax (city),t,1960.4657506189099,0.6165590271793377,659660.6761264754
Falls Church,t,505.23605055228256,0.49308181095016007,659660.6761264754
Hamilton,t,114.18438625583204,0.9750340459345274,659660.6761264754
Herndon,t,1009.7492649879011,0.4676184908183568,659660.6761264754
Hillsboro,t,159.94036682990577,0.9870035706952629,659660.6761264754
Leesburg,t,2016.6741607682911,0.32559144416947966,659660.6761264754
Loudoun County,t,240993.60810182343,0.8110695822661623,659660.6761264754
Lovettsville,t,344.5683358783476,0.8003355797325232,659660.6761264754
Manassas,t,2077.741536069388,0.3990265271112002,659660.6761264754
Manassas Park,t,361.0215275787219,0.2242566222430231,659660.6761264754
Middleburg,t,503.27521228788066,0.8160291205167459,659660.6761264754
Occoquan,t,27.95319507038811,0.31766463538531653,659660.6761264754
Prince William County,t,108864.35351655139,0.7195300725583372,659660.6761264754
Purcellville,t,901.7290114332021,0.49103493364882017,659660.6761264754
Round Hill,t,165.5121551812697,0.8191602748924833,659660.6761264754
Vienna,t,1857.0129571524624,0.8495375554808672,659660.6761264754
Haymarket,t,0,0,662819.8
Alexandria,t,0,0,662819.8
