geography,quarter,name,units,med_price,med_dom,med_asratio,period,frac,year,cpi,adj_price
Locality,2014 Q1,Fairfax County,2495,430000,22,0.99109100000000006,2014 Q1,1,2014,224.922,532390.1534754271
Locality,2014 Q1,Prince William County,1132,299250,25,0.996665,2014 Q1,1,2014,224.922,370506.4033198175
Locality,2014 Q1,Loudoun County,1078,424950,19,1,2014 Q1,1,2014,224.922,526137.6644636807
Locality,2014 Q1,Arlington County,488,507500,15,0.997124,2014 Q1,1,2014,224.922,628344.1927646028
Locality,2014 Q1,Alexandria City,383,448000,21,0.988954,2014 Q1,1,2014,224.922,554676.2529232356
Locality,2014 Q1,Manassas City,106,252500,18,0.9897105,2014 Q1,1,2014,224.922,312624.4505873147
Locality,2014 Q1,Fairfax City,61,450000,13,0.988372,2014 Q1,1,2014,224.922,557152.4861952143
Locality,2014 Q1,Manassas Park City,34,223500,29.5,0.997271,2014 Q1,1,2014,224.922,276719.0681436231
Locality,2014 Q1,Falls Church City,31,625000,16,0.992593,2014 Q1,1,2014,224.922,773822.8974933532
Locality,2014 Q2,Fairfax County,4256,480000,10,1,2014 Q2,1,2014,227.98566666666667,586309.8481337277
Locality,2014 Q2,Prince William County,1911,324900,16,1,2014 Q2,1,2014,227.98566666666667,396858.4784555169
Locality,2014 Q2,Loudoun County,1829,440000,13,1,2014 Q2,1,2014,227.98566666666667,537450.6941225837
Locality,2014 Q2,Arlington County,870,545000,10,1,2014 Q2,1,2014,227.98566666666667,665705.9734018367
Locality,2014 Q2,Alexandria City,762,495000,15,0.9950835,2014 Q2,1,2014,227.98566666666667,604632.0308879067
Locality,2014 Q2,Manassas City,183,274990,16,1,2014 Q2,1,2014,227.98566666666667,335894.46903811203
Locality,2014 Q2,Fairfax City,103,490000,13,1,2014 Q2,1,2014,227.98566666666667,598524.6366365136
Locality,2014 Q2,Manassas Park City,68,235000,18,0.981608,2014 Q2,1,2014,227.98566666666667,287047.52981547086
Locality,2014 Q2,Falls Church City,53,740000,8,1,2014 Q2,1,2014,227.98566666666667,903894.3492061635
Locality,2014 Q3,Fairfax County,3803,466100,19,0.989849,2014 Q3,1,2014,227.58233333333334,570340.29085591
Locality,2014 Q3,Prince William County,1784,330000,25,0.997836,2014 Q3,1,2014,227.58233333333334,403802.3942983272
Locality,2014 Q3,Loudoun County,1644,442025,22,0.9954435,2014 Q3,1,2014,227.58233333333334,540881.0707264184
Locality,2014 Q3,Arlington County,763,534000,17,0.994399,2014 Q3,1,2014,227.58233333333334,653425.6925918385
Locality,2014 Q3,Alexandria City,629,480000,21,0.991653,2014 Q3,1,2014,227.58233333333334,587348.9371612031
Locality,2014 Q3,Manassas City,159,272000,25,1,2014 Q3,1,2014,227.58233333333334,332831.06439134845
Locality,2014 Q3,Fairfax City,87,476000,11,0.993107,2014 Q3,1,2014,227.58233333333334,582454.3626848598
Locality,2014 Q3,Manassas Park City,62,249950,23,0.9900175,2014 Q3,1,2014,227.58233333333334,305849.7225905057
Locality,2014 Q3,Falls Church City,61,765000,14,0.990467,2014 Q3,1,2014,227.58233333333334,936087.3686006676
Locality,2014 Q4,Fairfax County,3033,459900,30,0.986301,2014 Q4,1,2014,224.278,571044.8650023632
Locality,2014 Q4,Prince William County,1467,319900,37,0.992278,2014 Q4,1,2014,224.278,397210.81172919326
Locality,2014 Q4,Loudoun County,1375,424597,29,0.992439,2014 Q4,1,2014,224.278,527210.1251259152
Locality,2014 Q4,Arlington County,655,565000,21,0.991597,2014 Q4,1,2014,224.278,701544.57213815
Locality,2014 Q4,Alexandria City,506,490000,23,0.989316,2014 Q4,1,2014,224.278,608419.1864560947
Locality,2014 Q4,Manassas City,118,240000,35,0.996315,2014 Q4,1,2014,224.278,298001.234182577
Locality,2014 Q4,Fairfax City,83,470000,31,0.986308,2014 Q4,1,2014,224.278,583585.7502742133
Locality,2014 Q4,Manassas Park City,59,260000,29,0.995842,2014 Q4,1,2014,224.278,322834.6703644584
Locality,2014 Q4,Falls Church City,40,678500,23.5,0.986892,2014 Q4,1,2014,224.278,842474.322470327
Locality,2015 Q1,Fairfax County,2644,450000,31.5,0.9872365,2015 Q1,1,2015,221.58933333333334,565531.966791422
Locality,2015 Q1,Prince William County,1317,317000,40,0.992057,2015 Q1,1,2015,221.58933333333334,398385.85216195724
Locality,2015 Q1,Loudoun County,1189,422000,34,0.990385,2015 Q1,1,2015,221.58933333333334,530343.3110799558
Locality,2015 Q1,Arlington County,529,537500,21,0.992154,2015 Q1,1,2015,221.58933333333334,675496.515889754
Locality,2015 Q1,Alexandria City,466,482000,33.5,0.9897985,2015 Q1,1,2015,221.58933333333334,605747.573318812
Locality,2015 Q1,Manassas City,109,272000,38,0.988,2015 Q1,1,2015,221.58933333333334,341832.65548281505
Locality,2015 Q1,Manassas Park City,55,264000,42,0.988806,2015 Q1,1,2015,221.58933333333334,331778.75385096757
Locality,2015 Q1,Falls Church City,44,659500,17.5,0.9898575,2015 Q1,1,2015,221.58933333333334,828818.5157754285
Locality,2015 Q1,Fairfax City,43,425000,31,0.987872,2015 Q1,1,2015,221.58933333333334,534113.5241918985
Locality,2015 Q2,Fairfax County,4798,490000,13,0.994188,2015 Q2,1,2015,224.69533333333334,607289.1513842448
Locality,2015 Q2,Prince William County,2069,335000,18,0.997272,2015 Q2,1,2015,224.69533333333334,415187.4810484123
Locality,2015 Q2,Loudoun County,2065,435000,19,0.995025,2015 Q2,1,2015,224.69533333333334,539124.042555401
Locality,2015 Q2,Arlington County,893,575000,12,1,2015 Q2,1,2015,224.69533333333334,712635.2286651852
Locality,2015 Q2,Alexandria City,775,509900,14,0.996604,2015 Q2,1,2015,224.69533333333334,631952.5271241355
Locality,2015 Q2,Manassas City,178,283475,19.5,1,2015 Q2,1,2015,224.69533333333334,351329.1677319363
Locality,2015 Q2,Fairfax City,120,503250,13.5,1,2015 Q2,1,2015,224.69533333333334,623710.7457839207
Locality,2015 Q2,Manassas Park City,76,264000,21,1,2015 Q2,1,2015,224.69533333333334,327192.52237845026
Locality,2015 Q2,Falls Church City,53,700000,8,1,2015 Q2,1,2015,224.69533333333334,867555.9305489211
Locality,2015 Q3,Fairfax County,4249,480000,23,0.989682,2015 Q3,1,2015,224.59133333333335,595170.9694942221
Locality,2015 Q3,Prince William County,2063,322000,25,0.994084,2015 Q3,1,2015,224.59133333333335,399260.5253690406
Locality,2015 Q3,Loudoun County,1864,435000,25,0.992727,2015 Q3,1,2015,224.59133333333335,539373.6911041387
Locality,2015 Q3,Arlington County,843,574900,18,0.989247,2015 Q3,1,2015,224.59133333333335,712841.2299213088
Locality,2015 Q3,Alexandria City,695,489900,22,0.991984,2015 Q3,1,2015,224.59133333333335,607446.3707400403
Locality,2015 Q3,Manassas City,178,266000,25,1,2015 Q3,1,2015,224.59133333333335,329823.9122613814
Locality,2015 Q3,Fairfax City,107,485000,21,0.989346,2015 Q3,1,2015,224.59133333333335,601370.6670931202
Locality,2015 Q3,Manassas Park City,83,270000,19,0.994737,2015 Q3,1,2015,224.59133333333335,334783.6703404999
Locality,2015 Q3,Falls Church City,58,697500,18.5,0.996149,2015 Q3,1,2015,224.59133333333335,864857.8150462914
Locality,2015 Q4,Fairfax County,3186,455000,31,0.987237,2015 Q4,1,2015,222.37766666666667,569788.5572292182
Locality,2015 Q4,Prince William County,1462,316950,33,0.992402,2015 Q4,1,2015,222.37766666666667,396910.95211824327
Locality,2015 Q4,Loudoun County,1435,435000,30,0.992776,2015 Q4,1,2015,222.37766666666667,544742.9063619998
Locality,2015 Q4,Arlington County,620,556500,22,0.991937,2015 Q4,1,2015,222.37766666666667,696895.2353803514
Locality,2015 Q4,Alexandria City,549,520000,26,0.99,2015 Q4,1,2015,222.37766666666667,651186.9225476779
Locality,2015 Q4,Manassas City,133,265000,28,0.988539,2015 Q4,1,2015,222.37766666666667,331854.87399064354
Locality,2015 Q4,Fairfax City,85,475000,40,0.991832,2015 Q4,1,2015,222.37766666666667,594834.2080964366
Locality,2015 Q4,Manassas Park City,55,266000,36,0.994792,2015 Q4,1,2015,222.37766666666667,333107.1565340045
Locality,2015 Q4,Falls Church City,36,699500,15.5,0.9916085,2015 Q4,1,2015,222.37766666666667,875971.6390809629
Locality,2016 Q1,Fairfax County,2761,450000,36,0.988108,2016 Q1,1,2016,221.63766666666666,565408.6391753508
Locality,2016 Q1,Prince William County,1333,320000,39,0.991108,2016 Q1,1,2016,221.63766666666666,402068.365635805
Locality,2016 Q1,Loudoun County,1248,430000,32,0.9915725,2016 Q1,1,2016,221.63766666666666,540279.366323113
Locality,2016 Q1,Arlington County,511,553000,26,0.991829,2016 Q1,1,2016,221.63766666666666,694824.3943643755
Locality,2016 Q1,Alexandria City,435,480000,32,0.989394,2016 Q1,1,2016,221.63766666666666,603102.5484537075
Locality,2016 Q1,Manassas City,116,286995,40,0.989731,2016 Q1,1,2016,221.63766666666666,360598.78311139956
Locality,2016 Q1,Fairfax City,61,455000,26,0.981663,2016 Q1,1,2016,221.63766666666666,571690.9573884102
Locality,2016 Q1,Manassas Park City,55,285000,21,0.983174,2016 Q1,1,2016,221.63766666666666,358092.13814438885
Locality,2016 Q1,Falls Church City,27,806000,43,0.994413,2016 Q1,1,2016,221.63766666666666,1012709.6959451839
Locality,2016 Q2,Fairfax County,5127,499900,13,0.994949,2016 Q2,1,2016,224.534,620004.0396242886
