jurisdiction,type,total_acres,acres,pct
Alexandria,Primarily Residential,2385.43,147.03,0.061636686048217725
Arlington,Primarily Residential,10579.44,6571.21,0.6211302299554607
Dumfries,Primarily Residential,789.08,132.82,0.16832260353829775
Fairfax,Primarily Residential,170887.44,147907,0.8655229430553819
Fairfax (city),Primarily Residential,3179.68,2032.6399999999999,0.6392592965329844
Falls Church,Primarily Residential,1024.65,775.99,0.757322012394476
Haymarket,Primarily Residential,275.63,136.52,0.4953016725320176
Herndon,Primarily Residential,2159.35,1018.67,0.47174844281844075
Leesburg,Primarily Residential,6193.88,2090.2799999999997,0.33747505602304206
Loudoun,Primarily Residential,297130.04,250984.68,0.8446964164242701
Lovettsville,Primarily Residential,430.52,261.57,0.6075675926786213
Manassas,Primarily Residential,5207.05,11.55,0.002218146551310243
Middleburg,Primarily Residential,616.73,410.26,0.6652181667828709
Round Hill,Primarily Residential,202.06,166.39,0.8234682767494803
