year,NAME,race,estimate,moe,third,third_ho,rent,ho,ho_price
2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",Black,61823,582,18546.899999999998,17310.440000000002,1545.5749999999998,1192.5366666666669,186339.5634729545
2011,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",Black,64103,550,19230.899999999998,17948.84,1602.5749999999998,1245.7366666666667,194652.3181696049
2012,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",Black,64775,582,19432.5,18137,1619.375,1261.4166666666667,197102.39323809135
2013,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",Black,65132,730,19539.6,18236.960000000003,1628.3,1269.746666666667,198403.9956182248
2014,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",Black,66307,580,19892.1,18565.960000000003,1657.675,1297.1633333333336,202687.9810430337
2015,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",Black,66703,618,20010.899999999998,18676.84,1667.5749999999998,1306.4033333333334,204131.77527982031
2016,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",Black,67904,599,20371.2,19013.120000000003,1697.6000000000001,1334.426666666667,208510.55527573137
2017,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",Black,70715,828,21214.5,19800.2,1767.875,1400.0166666666667,218759.30678989112
2018,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",Black,73674,745,22102.2,20628.72,1841.8500000000001,1469.0600000000002,229547.65817032478
2019,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",Black,76357,936,22907.1,21379.960000000003,1908.925,1531.6633333333336,239329.72871905862
2020,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",Black,78646,1142,23593.8,22020.88,1966.1499999999999,1585.0733333333335,247675.2969210905
2021,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",Black,82045,1090,24613.5,22972.600000000002,2051.125,1664.3833333333334,260067.86412017595
2022,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",Black,89233,1216,26769.899999999998,24985.24,2230.825,1832.1033333333335,286274.9170848791
2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",Asian,93725,1781,28117.5,26243.000000000004,2343.125,1936.916666666667,302652.5022152975
2011,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",Asian,96953,1547,29085.899999999998,27146.840000000004,2423.825,2012.2366666666671,314421.61281213415
2012,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",Asian,99474,1640,29842.199999999997,27852.72,2486.85,2071.06,323613.0402640006
2013,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",Asian,101844,1200,30553.199999999997,28516.320000000003,2546.1,2126.36,332253.9300144662
2014,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",Asian,102416,1301,30724.8,28676.480000000003,2560.4,2139.706666666667,334339.41057871364
2015,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",Asian,102902,1285,30870.6,28812.56,2572.5499999999997,2151.0466666666666,336111.3398693154
2016,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",Asian,104573,1426,31371.899999999998,29280.440000000002,2614.325,2190.036666666667,342203.71403515
2017,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",Asian,107880,1910,32364,30206.4,2697,2267.2000000000003,354260.8542903355
2018,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",Asian,112593,1808,33777.9,31526.040000000005,2814.8250000000003,2377.1700000000005,371444.19327512215
2019,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",Asian,118028,1641,35408.4,33047.840000000004,2950.7000000000003,2503.986666666667,391259.90458051476
2020,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",Asian,121204,2149,36361.2,33937.12,3030.1,2578.0933333333337,402839.42603514704
2021,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",Asian,129080,2259,38724,36142.4,3227,2761.866666666667,431554.8891890149
2022,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",Asian,138518,2839,41555.4,38785.04,3462.9500000000003,2982.0866666666666,465965.3184990967
2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",Multiracial,75787,2080,22736.1,21220.36,1894.675,1518.3633333333335,237251.54004489596
2011,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",Multiracial,80892,2394,24267.6,22649.760000000002,2022.3,1637.4800000000002,255864.0894862997
2012,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",Multiracial,80673,2363,24201.899999999998,22588.440000000002,2016.8249999999998,1632.3700000000001,255065.62752201615
2013,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",Multiracial,82549,2318,24764.7,23113.72,2063.725,1676.1433333333334,261905.4204215408
2014,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",Multiracial,83645,2348,25093.5,23420.600000000002,2091.125,1701.716666666667,265901.37618800084
2015,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",Multiracial,85320,2207,25596,23889.600000000002,2133,1740.8000000000002,272008.334134005
2016,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",Multiracial,86271,2432,25881.3,24155.88,2156.775,1762.99,275475.62786931836
2017,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",Multiracial,90130,2607,27039,25236.4,2253.25,1853.0333333333333,289545.32978790347
2018,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",Multiracial,93637,2746,28091.1,26218.360000000004,2340.9249999999997,1934.8633333333337,302331.65905156714
