NAME,GEOID,year,tenure,estimate,moe,pct
Arlington County,51013,2010,Homeowner,43168,891,0.4697688590954599
Arlington County,51013,2010,Renter,48724,1399,0.5302311409045402
Fairfax County,51059,2010,Homeowner,274448,2217,0.7188868632258335
Fairfax County,51059,2010,Renter,107320,1651,0.2811131367741665
Loudoun County,51107,2010,Homeowner,77022,984,0.8079513269694745
Loudoun County,51107,2010,Renter,18308,712,0.19204867303052553
Prince William County,51153,2010,Homeowner,93372,1231,0.7476997733806324
Prince William County,51153,2010,Renter,31507,1020,0.2523002266193676
Alexandria city,51510,2010,Homeowner,29103,872,0.4566035959710063
Alexandria city,51510,2010,Renter,34635,891,0.5433964040289937
Fairfax city,51600,2010,Homeowner,6148,244,0.7212576255279212
Fairfax city,51600,2010,Renter,2376,222,0.27874237447207884
Falls Church city,51610,2010,Homeowner,3006,182,0.6387590310242244
Falls Church city,51610,2010,Renter,1700,200,0.3612409689757756
Manassas city,51683,2010,Homeowner,8003,348,0.6821513808387317
Manassas city,51683,2010,Renter,3729,350,0.31784861916126833
Manassas Park city,51685,2010,Homeowner,2993,210,0.7116024726581075
Manassas Park city,51685,2010,Renter,1213,198,0.28839752734189256
Arlington County,51013,2011,Homeowner,43096,831,0.4662252801938639
Arlington County,51013,2011,Renter,49340,1105,0.5337747198061361
Fairfax County,51059,2011,Homeowner,273783,2220,0.7100733978265944
Fairfax County,51059,2011,Renter,111787,1964,0.2899266021734056
Loudoun County,51107,2011,Homeowner,78987,882,0.791762311925502
Loudoun County,51107,2011,Renter,20774,792,0.20823768807449805
Prince William County,51153,2011,Homeowner,94336,1165,0.7418101753558229
Prince William County,51153,2011,Renter,32834,1047,0.2581898246441771
Alexandria city,51510,2011,Homeowner,28868,850,0.4495382842549481
Alexandria city,51510,2011,Renter,35349,927,0.550461715745052
Fairfax city,51600,2011,Homeowner,5880,236,0.6942148760330579
Fairfax city,51600,2011,Renter,2590,234,0.30578512396694213
Falls Church city,51610,2011,Homeowner,2966,171,0.6170168504264614
