NAME,GEOID,year,tenure,age,estimate,moe,pct
Arlington County,51013,2010,Homeowner,Householder 15 to 24 years,484,164,0.00526705262699691
Arlington County,51013,2010,Homeowner,Householder 25 to 34 years,7085,473,0.07710137988072956
Arlington County,51013,2010,Homeowner,Householder 35 to 44 years,9997,478,0.1087907543638184
Arlington County,51013,2010,Homeowner,Householder 45 to 54 years,8925,484,0.09712488573542855
Arlington County,51013,2010,Homeowner,Householder 55 to 59 years,4513,306,0.04911200104470465
Arlington County,51013,2010,Homeowner,Householder 60 to 64 years,4012,332,0.043659948635354544
Arlington County,51013,2010,Homeowner,Householder 65 to 74 years,4288,241,0.04666347451355939
Arlington County,51013,2010,Homeowner,Householder 75 to 84 years,2486,240,0.02705349758412049
Arlington County,51013,2010,Homeowner,Householder 85 years and over,1378,204,0.0149958647107474
Arlington County,51013,2010,Renter,Householder 15 to 24 years,5553,543,0.060429634788664956
Arlington County,51013,2010,Renter,Householder 25 to 34 years,21437,781,0.23328472554738172
Arlington County,51013,2010,Renter,Householder 35 to 44 years,8323,552,0.09057371697209768
Arlington County,51013,2010,Renter,Householder 45 to 54 years,6234,407,0.06784050842293127
Arlington County,51013,2010,Renter,Householder 55 to 59 years,2147,344,0.023364384277194967
Arlington County,51013,2010,Renter,Householder 60 to 64 years,1707,302,0.018576154616288688
Arlington County,51013,2010,Renter,Householder 65 to 74 years,1730,233,0.018826448439472423
Arlington County,51013,2010,Renter,Householder 75 to 84 years,992,194,0.010795281417315979
Arlington County,51013,2010,Renter,Householder 85 years and over,601,135,0.006540286423192443
Fairfax County,51059,2010,Homeowner,Householder 15 to 24 years,1579,285,0.004136019781647493
Fairfax County,51059,2010,Homeowner,Householder 25 to 34 years,29137,1021,0.07632122126527105
Fairfax County,51059,2010,Homeowner,Householder 35 to 44 years,60154,1298,0.1575668992686658
Fairfax County,51059,2010,Homeowner,Householder 45 to 54 years,75558,1212,0.19791601181869617
Fairfax County,51059,2010,Homeowner,Householder 55 to 59 years,33000,1108,0.08643993210536242
Fairfax County,51059,2010,Homeowner,Householder 60 to 64 years,27821,812,0.07287410154858448
Fairfax County,51059,2010,Homeowner,Householder 65 to 74 years,28504,704,0.07466314620397728
Fairfax County,51059,2010,Homeowner,Householder 75 to 84 years,14329,590,0.03753326627690116
Fairfax County,51059,2010,Homeowner,Householder 85 years and over,4366,363,0.011436264956727647
Fairfax County,51059,2010,Renter,Householder 15 to 24 years,8226,651,0.02154711762117307
Fairfax County,51059,2010,Renter,Householder 25 to 34 years,34281,1090,0.08979537310617967
Fairfax County,51059,2010,Renter,Householder 35 to 44 years,26299,1042,0.06888738710420989
Fairfax County,51059,2010,Renter,Householder 45 to 54 years,19373,929,0.050745478929611704
Fairfax County,51059,2010,Renter,Householder 55 to 59 years,5909,611,0.015477986630623834
Fairfax County,51059,2010,Renter,Householder 60 to 64 years,3270,410,0.008565411454076821
