jurisdiction,pct_4plus
Alexandria,0.28836352998553144
Arlington,0.10724632227291497
Dumfries,0.2180915917898732
Fairfax,0.09372439123104848
Fairfax (city),0.05800905583442575
Falls Church,0.13878293207706
Haymarket,0.16402048755844328
Herndon,0.048957500790081904
Leesburg,0.3866230560435057
Loudoun,0.009451908890549076
Lovettsville,0.04117904594781735
Manassas,0.08768356743877145
Manassas Park,0.3178775698496039
Middleburg,0.1106705645312289
Occoquan,0.04552821159630101
Prince William,0.12492078748217325
Purcellville,0.043091199136940345
Round Hill,0.11674773320729409
Vienna,0.06422513216671237
