jurisdiction,family1_byright,family2_byright,family3_byright,family4_byright
Alexandria,77%,40%,29%,29%
Arlington,97%,14%,11%,11%
Clifton,100%,0%,0%,0%
Dumfries,68%,54%,22%,22%
Fairfax,93%,6%,9%,9%
Fairfax (city),68%,6%,6%,6%
Falls Church,84%,34%,14%,14%
Hamilton,100%,3%,0%,0%
Haymarket,55%,55%,16%,16%
Herndon,59%,10%,5%,5%
Hillsboro,NA,0%,0%,0%
Leesburg,77%,40%,39%,39%
Loudoun,81%,1%,1%,1%
Lovettsville,71%,5%,4%,4%
Manassas,56%,14%,9%,9%
Manassas Park,54%,31%,31%,32%
Middleburg,98%,16%,11%,11%
Occoquan,69%,41%,5%,5%
Prince William,74%,13%,13%,12%
Purcellville,69%,12%,4%,4%
Quantico,NA,0%,NA,NA
Round Hill,85%,12%,12%,12%
Vienna,85%,6%,6%,6%
