NAME,year,tenure,income,cb,estimate
Alexandria city,2010,Homeowner,"$20,000 to $34,999",Cost-burdened,836
Alexandria city,2010,Homeowner,"$20,000 to $34,999",Not cost-burdened,425
Alexandria city,2010,Homeowner,"$35,000 to $49,999",Cost-burdened,881
Alexandria city,2010,Homeowner,"$35,000 to $49,999",Not cost-burdened,848
Alexandria city,2010,Homeowner,"$50,000 to $74,999",Cost-burdened,1936
Alexandria city,2010,Homeowner,"$50,000 to $74,999",Not cost-burdened,1616
Alexandria city,2010,Homeowner,"$75,000 or more",Cost-burdened,3971
Alexandria city,2010,Homeowner,"$75,000 or more",Not cost-burdened,17357
Alexandria city,2010,Homeowner,"Less than $20,000",Cost-burdened,1037
Alexandria city,2010,Homeowner,"Less than $20,000",Not cost-burdened,140
Alexandria city,2010,Renter,"$20,000 to $34,999",Cost-burdened,3808
Alexandria city,2010,Renter,"$20,000 to $34,999",Not cost-burdened,419
Alexandria city,2010,Renter,"$35,000 to $49,999",Cost-burdened,3585
Alexandria city,2010,Renter,"$35,000 to $49,999",Not cost-burdened,1453
Alexandria city,2010,Renter,"$50,000 to $74,999",Cost-burdened,2363
Alexandria city,2010,Renter,"$50,000 to $74,999",Not cost-burdened,5506
Alexandria city,2010,Renter,"$75,000 or more",Cost-burdened,712
Alexandria city,2010,Renter,"$75,000 or more",Not cost-burdened,12038
Alexandria city,2010,Renter,"Less than $20,000",Cost-burdened,3366
Alexandria city,2010,Renter,"Less than $20,000",Not cost-burdened,349
Alexandria city,2011,Homeowner,"$20,000 to $34,999",Cost-burdened,1008
Alexandria city,2011,Homeowner,"$20,000 to $34,999",Not cost-burdened,404
Alexandria city,2011,Homeowner,"$35,000 to $49,999",Cost-burdened,865
Alexandria city,2011,Homeowner,"$35,000 to $49,999",Not cost-burdened,697
Alexandria city,2011,Homeowner,"$50,000 to $74,999",Cost-burdened,1670
Alexandria city,2011,Homeowner,"$50,000 to $74,999",Not cost-burdened,1565
Alexandria city,2011,Homeowner,"$75,000 or more",Cost-burdened,3672
Alexandria city,2011,Homeowner,"$75,000 or more",Not cost-burdened,17862
Alexandria city,2011,Homeowner,"Less than $20,000",Cost-burdened,954
Alexandria city,2011,Homeowner,"Less than $20,000",Not cost-burdened,121
Alexandria city,2011,Renter,"$20,000 to $34,999",Cost-burdened,3504
Alexandria city,2011,Renter,"$20,000 to $34,999",Not cost-burdened,441
Alexandria city,2011,Renter,"$35,000 to $49,999",Cost-burdened,3460
Alexandria city,2011,Renter,"$35,000 to $49,999",Not cost-burdened,1371
Alexandria city,2011,Renter,"$50,000 to $74,999",Cost-burdened,3163
Alexandria city,2011,Renter,"$50,000 to $74,999",Not cost-burdened,5324
