NAME,fips,year,tenure,size,estimate,name_long
Arlington County,51013,2010,Homeowner,1-person,14604,Arlington County
Arlington County,51013,2010,Homeowner,2-person,14487,Arlington County
Arlington County,51013,2010,Homeowner,3-person,6235,Arlington County
Arlington County,51013,2010,Homeowner,4-person or more,5346,Arlington County
Arlington County,51013,2010,Homeowner,4-person or more,1613,Arlington County
Arlington County,51013,2010,Homeowner,4-person or more,609,Arlington County
Arlington County,51013,2010,Homeowner,4-person or more,274,Arlington County
Arlington County,51013,2010,Renter,1-person,23578,Arlington County
Arlington County,51013,2010,Renter,2-person,15239,Arlington County
Arlington County,51013,2010,Renter,3-person,5561,Arlington County
Arlington County,51013,2010,Renter,4-person or more,2925,Arlington County
Arlington County,51013,2010,Renter,4-person or more,811,Arlington County
Arlington County,51013,2010,Renter,4-person or more,462,Arlington County
Arlington County,51013,2010,Renter,4-person or more,148,Arlington County
Fairfax County,51059,2010,Homeowner,1-person,56789,Fairfax County
Fairfax County,51059,2010,Homeowner,2-person,87929,Fairfax County
Fairfax County,51059,2010,Homeowner,3-person,49465,Fairfax County
Fairfax County,51059,2010,Homeowner,4-person or more,48729,Fairfax County
Fairfax County,51059,2010,Homeowner,4-person or more,20348,Fairfax County
Fairfax County,51059,2010,Homeowner,4-person or more,7187,Fairfax County
Fairfax County,51059,2010,Homeowner,4-person or more,4001,Fairfax County
Fairfax County,51059,2010,Renter,1-person,36138,Fairfax County
Fairfax County,51059,2010,Renter,2-person,29251,Fairfax County
Fairfax County,51059,2010,Renter,3-person,17698,Fairfax County
Fairfax County,51059,2010,Renter,4-person or more,13974,Fairfax County
Fairfax County,51059,2010,Renter,4-person or more,5912,Fairfax County
Fairfax County,51059,2010,Renter,4-person or more,2756,Fairfax County
Fairfax County,51059,2010,Renter,4-person or more,1591,Fairfax County
Loudoun County,51107,2010,Homeowner,1-person,12993,Loudoun County
Loudoun County,51107,2010,Homeowner,2-person,21343,Loudoun County
Loudoun County,51107,2010,Homeowner,3-person,14614,Loudoun County
Loudoun County,51107,2010,Homeowner,4-person or more,17603,Loudoun County
Loudoun County,51107,2010,Homeowner,4-person or more,7379,Loudoun County
Loudoun County,51107,2010,Homeowner,4-person or more,2079,Loudoun County
Loudoun County,51107,2010,Homeowner,4-person or more,1011,Loudoun County
Loudoun County,51107,2010,Renter,1-person,7168,Loudoun County
Loudoun County,51107,2010,Renter,2-person,4801,Loudoun County
Loudoun County,51107,2010,Renter,3-person,2729,Loudoun County
Loudoun County,51107,2010,Renter,4-person or more,2041,Loudoun County
Loudoun County,51107,2010,Renter,4-person or more,796,Loudoun County
Loudoun County,51107,2010,Renter,4-person or more,440,Loudoun County
Loudoun County,51107,2010,Renter,4-person or more,333,Loudoun County
Prince William County,51153,2010,Homeowner,1-person,13872,Prince William County
Prince William County,51153,2010,Homeowner,2-person,28779,Prince William County
Prince William County,51153,2010,Homeowner,3-person,17241,Prince William County
Prince William County,51153,2010,Homeowner,4-person or more,18164,Prince William County
Prince William County,51153,2010,Homeowner,4-person or more,8819,Prince William County
Prince William County,51153,2010,Homeowner,4-person or more,3883,Prince William County
Prince William County,51153,2010,Homeowner,4-person or more,2614,Prince William County
Prince William County,51153,2010,Renter,1-person,8107,Prince William County
Prince William County,51153,2010,Renter,2-person,7433,Prince William County
Prince William County,51153,2010,Renter,3-person,6245,Prince William County
Prince William County,51153,2010,Renter,4-person or more,4754,Prince William County
Prince William County,51153,2010,Renter,4-person or more,2746,Prince William County
Prince William County,51153,2010,Renter,4-person or more,1276,Prince William County
Prince William County,51153,2010,Renter,4-person or more,946,Prince William County
Alexandria city,51510,2010,Homeowner,1-person,11955,Alexandria City
Alexandria city,51510,2010,Homeowner,2-person,10574,Alexandria City
Alexandria city,51510,2010,Homeowner,3-person,3164,Alexandria City
Alexandria city,51510,2010,Homeowner,4-person or more,2419,Alexandria City
Alexandria city,51510,2010,Homeowner,4-person or more,668,Alexandria City
Alexandria city,51510,2010,Homeowner,4-person or more,169,Alexandria City
Alexandria city,51510,2010,Homeowner,4-person or more,154,Alexandria City
Alexandria city,51510,2010,Renter,1-person,16895,Alexandria City
Alexandria city,51510,2010,Renter,2-person,9865,Alexandria City
Alexandria city,51510,2010,Renter,3-person,4037,Alexandria City
Alexandria city,51510,2010,Renter,4-person or more,2633,Alexandria City
Alexandria city,51510,2010,Renter,4-person or more,639,Alexandria City
Alexandria city,51510,2010,Renter,4-person or more,372,Alexandria City
Alexandria city,51510,2010,Renter,4-person or more,194,Alexandria City
Fairfax city,51600,2010,Homeowner,1-person,1342,Fairfax City
Fairfax city,51600,2010,Homeowner,2-person,2521,Fairfax City
Fairfax city,51600,2010,Homeowner,3-person,761,Fairfax City
Fairfax city,51600,2010,Homeowner,4-person or more,826,Fairfax City
Fairfax city,51600,2010,Homeowner,4-person or more,520,Fairfax City
Fairfax city,51600,2010,Homeowner,4-person or more,145,Fairfax City
Fairfax city,51600,2010,Homeowner,4-person or more,33,Fairfax City
Fairfax city,51600,2010,Renter,1-person,766,Fairfax City
Fairfax city,51600,2010,Renter,2-person,637,Fairfax City
Fairfax city,51600,2010,Renter,3-person,357,Fairfax City
Fairfax city,51600,2010,Renter,4-person or more,372,Fairfax City
Fairfax city,51600,2010,Renter,4-person or more,131,Fairfax City
Fairfax city,51600,2010,Renter,4-person or more,73,Fairfax City
Fairfax city,51600,2010,Renter,4-person or more,40,Fairfax City
Falls Church city,51610,2010,Homeowner,1-person,767,Falls Church City
Falls Church city,51610,2010,Homeowner,2-person,947,Falls Church City
Falls Church city,51610,2010,Homeowner,3-person,477,Falls Church City
Falls Church city,51610,2010,Homeowner,4-person or more,598,Falls Church City
Falls Church city,51610,2010,Homeowner,4-person or more,162,Falls Church City
Falls Church city,51610,2010,Homeowner,4-person or more,35,Falls Church City
Falls Church city,51610,2010,Homeowner,4-person or more,20,Falls Church City
Falls Church city,51610,2010,Renter,1-person,731,Falls Church City
Falls Church city,51610,2010,Renter,2-person,444,Falls Church City
Falls Church city,51610,2010,Renter,3-person,207,Falls Church City
Falls Church city,51610,2010,Renter,4-person or more,178,Falls Church City
Falls Church city,51610,2010,Renter,4-person or more,89,Falls Church City
Falls Church city,51610,2010,Renter,4-person or more,25,Falls Church City
Falls Church city,51610,2010,Renter,4-person or more,26,Falls Church City
Manassas city,51683,2010,Homeowner,1-person,1158,Manassas City
Manassas city,51683,2010,Homeowner,2-person,2348,Manassas City
Manassas city,51683,2010,Homeowner,3-person,1771,Manassas City
Manassas city,51683,2010,Homeowner,4-person or more,1422,Manassas City
Manassas city,51683,2010,Homeowner,4-person or more,824,Manassas City
Manassas city,51683,2010,Homeowner,4-person or more,216,Manassas City
Manassas city,51683,2010,Homeowner,4-person or more,264,Manassas City
Manassas city,51683,2010,Renter,1-person,1055,Manassas City
Manassas city,51683,2010,Renter,2-person,634,Manassas City
Manassas city,51683,2010,Renter,3-person,878,Manassas City
Manassas city,51683,2010,Renter,4-person or more,292,Manassas City
Manassas city,51683,2010,Renter,4-person or more,461,Manassas City
Manassas city,51683,2010,Renter,4-person or more,112,Manassas City
Manassas city,51683,2010,Renter,4-person or more,297,Manassas City
Manassas Park city,51685,2010,Homeowner,1-person,419,Manassas Park City
Manassas Park city,51685,2010,Homeowner,2-person,842,Manassas Park City
Manassas Park city,51685,2010,Homeowner,3-person,611,Manassas Park City
Manassas Park city,51685,2010,Homeowner,4-person or more,593,Manassas Park City
Manassas Park city,51685,2010,Homeowner,4-person or more,326,Manassas Park City
Manassas Park city,51685,2010,Homeowner,4-person or more,109,Manassas Park City
Manassas Park city,51685,2010,Homeowner,4-person or more,93,Manassas Park City
Manassas Park city,51685,2010,Renter,1-person,359,Manassas Park City
Manassas Park city,51685,2010,Renter,2-person,232,Manassas Park City
Manassas Park city,51685,2010,Renter,3-person,361,Manassas Park City
Manassas Park city,51685,2010,Renter,4-person or more,128,Manassas Park City
Manassas Park city,51685,2010,Renter,4-person or more,90,Manassas Park City
Manassas Park city,51685,2010,Renter,4-person or more,36,Manassas Park City
Manassas Park city,51685,2010,Renter,4-person or more,7,Manassas Park City
Arlington County,51013,2011,Homeowner,1-person,14279,Arlington County
Arlington County,51013,2011,Homeowner,2-person,14468,Arlington County
Arlington County,51013,2011,Homeowner,3-person,6562,Arlington County
Arlington County,51013,2011,Homeowner,4-person or more,5247,Arlington County
Arlington County,51013,2011,Homeowner,4-person or more,1657,Arlington County
Arlington County,51013,2011,Homeowner,4-person or more,642,Arlington County
Arlington County,51013,2011,Homeowner,4-person or more,241,Arlington County
Arlington County,51013,2011,Renter,1-person,23340,Arlington County
Arlington County,51013,2011,Renter,2-person,16001,Arlington County
Arlington County,51013,2011,Renter,3-person,5577,Arlington County
Arlington County,51013,2011,Renter,4-person or more,3059,Arlington County
Arlington County,51013,2011,Renter,4-person or more,841,Arlington County
Arlington County,51013,2011,Renter,4-person or more,379,Arlington County
Arlington County,51013,2011,Renter,4-person or more,143,Arlington County
Fairfax County,51059,2011,Homeowner,1-person,54576,Fairfax County
Fairfax County,51059,2011,Homeowner,2-person,89445,Fairfax County
Fairfax County,51059,2011,Homeowner,3-person,49494,Fairfax County
Fairfax County,51059,2011,Homeowner,4-person or more,49342,Fairfax County
Fairfax County,51059,2011,Homeowner,4-person or more,19891,Fairfax County
Fairfax County,51059,2011,Homeowner,4-person or more,7214,Fairfax County
Fairfax County,51059,2011,Homeowner,4-person or more,3821,Fairfax County
Fairfax County,51059,2011,Renter,1-person,35590,Fairfax County
Fairfax County,51059,2011,Renter,2-person,31246,Fairfax County
Fairfax County,51059,2011,Renter,3-person,18511,Fairfax County
Fairfax County,51059,2011,Renter,4-person or more,14817,Fairfax County
Fairfax County,51059,2011,Renter,4-person or more,6666,Fairfax County
Fairfax County,51059,2011,Renter,4-person or more,3073,Fairfax County
Fairfax County,51059,2011,Renter,4-person or more,1884,Fairfax County
Loudoun County,51107,2011,Homeowner,1-person,12199,Loudoun County
Loudoun County,51107,2011,Homeowner,2-person,21922,Loudoun County
Loudoun County,51107,2011,Homeowner,3-person,16029,Loudoun County
Loudoun County,51107,2011,Homeowner,4-person or more,17727,Loudoun County
Loudoun County,51107,2011,Homeowner,4-person or more,7569,Loudoun County
Loudoun County,51107,2011,Homeowner,4-person or more,2484,Loudoun County
Loudoun County,51107,2011,Homeowner,4-person or more,1057,Loudoun County
Loudoun County,51107,2011,Renter,1-person,7186,Loudoun County
Loudoun County,51107,2011,Renter,2-person,5681,Loudoun County
Loudoun County,51107,2011,Renter,3-person,3149,Loudoun County
Loudoun County,51107,2011,Renter,4-person or more,2552,Loudoun County
Loudoun County,51107,2011,Renter,4-person or more,1114,Loudoun County
Loudoun County,51107,2011,Renter,4-person or more,501,Loudoun County
Loudoun County,51107,2011,Renter,4-person or more,591,Loudoun County
Prince William County,51153,2011,Homeowner,1-person,13931,Prince William County
Prince William County,51153,2011,Homeowner,2-person,28823,Prince William County
Prince William County,51153,2011,Homeowner,3-person,17518,Prince William County
Prince William County,51153,2011,Homeowner,4-person or more,18498,Prince William County
Prince William County,51153,2011,Homeowner,4-person or more,9082,Prince William County
Prince William County,51153,2011,Homeowner,4-person or more,3846,Prince William County
Prince William County,51153,2011,Homeowner,4-person or more,2638,Prince William County
Prince William County,51153,2011,Renter,1-person,8168,Prince William County
Prince William County,51153,2011,Renter,2-person,7554,Prince William County
Prince William County,51153,2011,Renter,3-person,5922,Prince William County
Prince William County,51153,2011,Renter,4-person or more,5370,Prince William County
Prince William County,51153,2011,Renter,4-person or more,3257,Prince William County
Prince William County,51153,2011,Renter,4-person or more,1428,Prince William County
Prince William County,51153,2011,Renter,4-person or more,1135,Prince William County
Alexandria city,51510,2011,Homeowner,1-person,11904,Alexandria City
Alexandria city,51510,2011,Homeowner,2-person,10295,Alexandria City
Alexandria city,51510,2011,Homeowner,3-person,3133,Alexandria City
Alexandria city,51510,2011,Homeowner,4-person or more,2372,Alexandria City
Alexandria city,51510,2011,Homeowner,4-person or more,759,Alexandria City
Alexandria city,51510,2011,Homeowner,4-person or more,258,Alexandria City
Alexandria city,51510,2011,Homeowner,4-person or more,147,Alexandria City
Alexandria city,51510,2011,Renter,1-person,17002,Alexandria City
Alexandria city,51510,2011,Renter,2-person,10108,Alexandria City
Alexandria city,51510,2011,Renter,3-person,4183,Alexandria City
Alexandria city,51510,2011,Renter,4-person or more,2874,Alexandria City
Alexandria city,51510,2011,Renter,4-person or more,711,Alexandria City
Alexandria city,51510,2011,Renter,4-person or more,322,Alexandria City
Alexandria city,51510,2011,Renter,4-person or more,149,Alexandria City
Fairfax city,51600,2011,Homeowner,1-person,1355,Fairfax City
Fairfax city,51600,2011,Homeowner,2-person,2306,Fairfax City
Fairfax city,51600,2011,Homeowner,3-person,782,Fairfax City
Fairfax city,51600,2011,Homeowner,4-person or more,784,Fairfax City
Fairfax city,51600,2011,Homeowner,4-person or more,428,Fairfax City
Fairfax city,51600,2011,Homeowner,4-person or more,166,Fairfax City
Fairfax city,51600,2011,Homeowner,4-person or more,59,Fairfax City
Fairfax city,51600,2011,Renter,1-person,698,Fairfax City
Fairfax city,51600,2011,Renter,2-person,629,Fairfax City
Fairfax city,51600,2011,Renter,3-person,377,Fairfax City
Fairfax city,51600,2011,Renter,4-person or more,538,Fairfax City
Fairfax city,51600,2011,Renter,4-person or more,244,Fairfax City
Fairfax city,51600,2011,Renter,4-person or more,63,Fairfax City
Fairfax city,51600,2011,Renter,4-person or more,41,Fairfax City
Falls Church city,51610,2011,Homeowner,1-person,671,Falls Church City
Falls Church city,51610,2011,Homeowner,2-person,938,Falls Church City
Falls Church city,51610,2011,Homeowner,3-person,462,Falls Church City
Falls Church city,51610,2011,Homeowner,4-person or more,620,Falls Church City
Falls Church city,51610,2011,Homeowner,4-person or more,196,Falls Church City
Falls Church city,51610,2011,Homeowner,4-person or more,56,Falls Church City
