fips,year,counttype,value,name_long
51510,2010,Census population,139966,Alexandria City
51510,2011,Population estimate,144219,Alexandria City
51510,2012,Population estimate,147291,Alexandria City
51510,2013,Population estimate,149637,Alexandria City
51510,2014,Population estimate,151375,Alexandria City
51510,2015,Population estimate,153654,Alexandria City
51510,2016,Population estimate,156698,Alexandria City
51510,2017,Population estimate,159215,Alexandria City
51510,2018,Population estimate,159069,Alexandria City
51510,2019,Population estimate,159428,Alexandria City
51013,2010,Census population,207627,Arlington County
51013,2011,Population estimate,215990,Arlington County
51013,2012,Population estimate,221454,Arlington County
51013,2013,Population estimate,224894,Arlington County
51013,2014,Population estimate,225980,Arlington County
51013,2015,Population estimate,228548,Arlington County
51013,2016,Population estimate,231259,Arlington County
51013,2017,Population estimate,234647,Arlington County
51013,2018,Population estimate,236025,Arlington County
51013,2019,Population estimate,236842,Arlington County
51685,2010,Census population,14273,Manassas Park City
51685,2011,Population estimate,15067,Manassas Park City
51685,2012,Population estimate,15397,Manassas Park City
51685,2013,Population estimate,15896,Manassas Park City
51685,2014,Population estimate,15916,Manassas Park City
51685,2015,Population estimate,16129,Manassas Park City
51685,2016,Population estimate,16456,Manassas Park City
51685,2017,Population estimate,17149,Manassas Park City
51685,2018,Population estimate,17718,Manassas Park City
51685,2019,Population estimate,17478,Manassas Park City
51683,2010,Census population,37821,Manassas City
51683,2011,Population estimate,39101,Manassas City
51683,2012,Population estimate,40284,Manassas City
51683,2013,Population estimate,41082,Manassas City
51683,2014,Population estimate,41142,Manassas City
51683,2015,Population estimate,41409,Manassas City
51683,2016,Population estimate,41189,Manassas City
51683,2017,Population estimate,41141,Manassas City
51683,2018,Population estimate,41046,Manassas City
51683,2019,Population estimate,41085,Manassas City
51107,2010,Census population,312311,Loudoun County
51107,2011,Population estimate,326327,Loudoun County
51107,2012,Population estimate,337847,Loudoun County
51107,2013,Population estimate,349915,Loudoun County
51107,2014,Population estimate,362206,Loudoun County
51107,2015,Population estimate,374014,Loudoun County
51107,2016,Population estimate,385546,Loudoun County
51107,2017,Population estimate,397049,Loudoun County
51107,2018,Population estimate,405522,Loudoun County
51107,2019,Population estimate,413538,Loudoun County
51153,2010,Census population,402002,Prince William County
51153,2011,Population estimate,419094,Prince William County
51153,2012,Population estimate,429616,Prince William County
51153,2013,Population estimate,437735,Prince William County
51153,2014,Population estimate,443782,Prince William County
51153,2015,Population estimate,450978,Prince William County
51153,2016,Population estimate,456496,Prince William County
51153,2017,Population estimate,463069,Prince William County
51153,2018,Population estimate,466235,Prince William County
51153,2019,Population estimate,470335,Prince William County
51610,2010,Census population,12332,Falls Church City
51610,2011,Population estimate,12660,Falls Church City
51610,2012,Population estimate,13087,Falls Church City
51610,2013,Population estimate,13360,Falls Church City
51610,2014,Population estimate,13416,Falls Church City
51610,2015,Population estimate,13728,Falls Church City
51610,2016,Population estimate,13582,Falls Church City
51610,2017,Population estimate,14245,Falls Church City
51610,2018,Population estimate,14467,Falls Church City
51610,2019,Population estimate,14617,Falls Church City
51600,2010,Census population,22565,Fairfax City
51600,2011,Population estimate,22460,Fairfax City
51600,2012,Population estimate,22894,Fairfax City
51600,2013,Population estimate,23230,Fairfax City
51600,2014,Population estimate,23310,Fairfax City
51600,2015,Population estimate,23230,Fairfax City
51600,2016,Population estimate,23246,Fairfax City
51600,2017,Population estimate,23435,Fairfax City
51600,2018,Population estimate,23725,Fairfax City
51600,2019,Population estimate,24019,Fairfax City
51059,2010,Census population,1081726,Fairfax County
51059,2011,Population estimate,1103439,Fairfax County
51059,2012,Population estimate,1120395,Fairfax County
51059,2013,Population estimate,1131784,Fairfax County
51059,2014,Population estimate,1136271,Fairfax County
51059,2015,Population estimate,1140401,Fairfax County
51059,2016,Population estimate,1144188,Fairfax County
51059,2017,Population estimate,1148728,Fairfax County
51059,2018,Population estimate,1148463,Fairfax County
51059,2019,Population estimate,1147532,Fairfax County
51013,2020,Census population,238643,Arlington County
51059,2020,Census population,1150309,Fairfax County
51107,2020,Census population,420959,Loudoun County
51510,2020,Census population,159467,Alexandria City
51600,2020,Census population,24146,Fairfax City
51610,2020,Census population,14658,Falls Church City
51683,2020,Census population,42772,Manassas City
51153,2020,Census population,482204,Prince William County
51685,2020,Census population,17219,Manassas Park City
51013,2021,Population estimate,233574,Arlington County
51013,2022,Population estimate,234000,Arlington County
51059,2021,Population estimate,1141645,Fairfax County
51059,2022,Population estimate,1138331,Fairfax County
51107,2021,Population estimate,428435,Loudoun County
51107,2022,Population estimate,432085,Loudoun County
51153,2021,Population estimate,485205,Prince William County
51153,2022,Population estimate,486943,Prince William County
51510,2021,Population estimate,155203,Alexandria City
51510,2022,Population estimate,155525,Alexandria City
51600,2021,Population estimate,24391,Fairfax City
51600,2022,Population estimate,24835,Fairfax City
51610,2021,Population estimate,14546,Falls Church City
51610,2022,Population estimate,14586,Falls Church City
51683,2021,Population estimate,42765,Manassas City
51683,2022,Population estimate,42642,Manassas City
51685,2021,Population estimate,17082,Manassas Park City
51685,2022,Population estimate,16703,Manassas Park City
