jurisdiction,abbrvname,overlay,adu_detached,adu_attached,acres
Ashland,B-1,0,prohibited,prohibited,43.05121297182398
Ashland,B-2,0,prohibited,prohibited,418.2359064513988
Ashland,B-4,0,hearing,hearing,15.900784474902776
Ashland,HE,0,prohibited,prohibited,105.59744618985924
Ashland,M-1,0,prohibited,prohibited,1059.1093737128404
Ashland,M-2,0,prohibited,prohibited,83.71608700999643
Ashland,PMH,0,prohibited,prohibited,52.869478166246765
Ashland,POB,0,prohibited,prohibited,33.0327185
Ashland,PSC,0,hearing,hearing,71.47699909023558
Ashland,PUD,0,prohibited,prohibited,123.13677788619223
Ashland,R-1,0,hearing,hearing,144.47891772763646
Ashland,R-2,0,hearing,hearing,561.9923713736938
Ashland,R-3,0,hearing,hearing,84.15666317290503
Ashland,R-4,0,hearing,hearing,3.802399303027036
Ashland,R-5,0,hearing,hearing,67.80559329
Ashland,RO-1,0,prohibited,prohibited,2.113441775937849
Ashland,RR-1,0,hearing,hearing,1026.0100683003948
Ashland,RRC,0,hearing,hearing,76.75827337901268
Charles City,A-1,0,prohibited,prohibited,98235.86274994416
Charles City,A-20,0,prohibited,prohibited,118.12881463051312
Charles City,B-1,0,prohibited,prohibited,295.7698649407279
Charles City,B-2,0,prohibited,prohibited,78.04077193545358
Charles City,B-3,0,prohibited,prohibited,47.2975876
Charles City,M-1,0,prohibited,prohibited,2065.5104769817735
Charles City,M-2,0,prohibited,prohibited,850.8107058528515
Charles City,PD-IP,0,prohibited,prohibited,555.9646393472663
Charles City,R-1,0,prohibited,prohibited,125.2765446459114
Charles City,R-2,0,prohibited,prohibited,7.825174386858726
Chesterfield,A,0,allowed,allowed,121181.86989806236
Chesterfield,C-1,0,allowed,allowed,4.5042521998904235
Chesterfield,C-2,0,allowed,allowed,1018.6926924883062
Chesterfield,C-3,0,allowed,allowed,4117.214109573759
Chesterfield,C-4,0,allowed,allowed,973.3042596128339
Chesterfield,C-5,0,allowed,allowed,2139.141771036339
Chesterfield,I-1,0,prohibited,prohibited,4066.371838866879
Chesterfield,I-2,0,prohibited,prohibited,6601.390803840046
Chesterfield,I-3,0,prohibited,prohibited,6212.788331336019
Chesterfield,MH-1,0,prohibited,prohibited,253.6889401527951
Chesterfield,MH-2,0,prohibited,prohibited,104.64587335837858
Chesterfield,O-1,0,allowed,allowed,27.617523039559465
Chesterfield,O-2,0,allowed,allowed,1977.265978829117
Chesterfield,R-12,0,allowed,allowed,11974.806804863276
Chesterfield,R-15,0,allowed,allowed,17751.237325279064
Chesterfield,R-25,0,allowed,allowed,9712.610327
Chesterfield,R-40,0,allowed,allowed,4748.314168533901
Chesterfield,R-7,0,allowed,allowed,21343.061459239536
Chesterfield,R-88,0,allowed,allowed,6474.435303298645
Chesterfield,R-9,0,allowed,allowed,10177.774603148137
Chesterfield,R-MF,0,prohibited,prohibited,1344.727083317593
Chesterfield,R-TH,0,prohibited,prohibited,2754.495059858029
Goochland,A-1,0,hearing,allowed,100130.72126090009
Goochland,A-2,0,hearing,allowed,53689.86106445979
Goochland,B-1,0,prohibited,prohibited,918.2652472410138
Goochland,B-3,0,prohibited,prohibited,3.325549031106531
Goochland,B-N,0,prohibited,prohibited,26.56832599636796
Goochland,M-1,0,prohibited,prohibited,2812.7943193228066
Goochland,M-2,0,prohibited,prohibited,2241.654583159776
Goochland,MPUD,0,prohibited,prohibited,41.81506641388037
Goochland,R-1,0,hearing,allowed,2990.7235689491563
Goochland,R-2,0,prohibited,prohibited,1.8083781158543355
Goochland,R-3,0,hearing,allowed,871.3997265947737
Goochland,R-MH,0,prohibited,prohibited,11.220548164755996
Goochland,R-N,0,hearing,allowed,133.78228468140247
Goochland,R-O,0,hearing,allowed,84.69623030210143
Goochland,R-P,0,hearing,allowed,1783.1521910108356
Goochland,RPUD,0,prohibited,prohibited,1964.5821635129648
Goochland,R-R,0,hearing,allowed,6182.1197429731565
Hanover,A-1,0,hearing,hearing,242902.66223091708
Hanover,AR-1,0,prohibited,prohibited,877.2154967071486
Hanover,AR-2,0,prohibited,prohibited,1424.8985465602532
