fid,id,Abbreviated District Name,customfielddata,Jurisdiction,County
9139,43470,A-1,"{""41_116"": "".46"", ""41_117"": ""2"", ""41_118"": """", ""41_119"": """", ""41_125"": ""1"", ""41_126"": ""2"", ""41_127"": """", ""41_128"": """", ""45_121"": ""f"", ""45_122"": ""f"", ""50_135"": """"}",Charles City,Charles City County
9423,43471,R-1,"{""41_116"": ""0.46"", ""41_117"": ""0.69"", ""41_118"": """", ""41_119"": """", ""41_125"": ""1"", ""41_126"": ""1.5"", ""41_127"": """", ""41_128"": """", ""45_121"": ""f"", ""45_122"": ""f"", ""50_135"": """"}",Charles City,Charles City County
9137,43472,R-2,"{""41_116"": "".09"", ""41_117"": "".18"", ""41_118"": "".28"", ""41_119"": "".37"", ""41_125"": "".09"", ""41_126"": "".18"", ""41_127"": "".28"", ""41_128"": "".37"", ""45_121"": ""f"", ""45_122"": ""f"", ""50_135"": """"}",Charles City,Charles City County
9076,43473,B-1,"{""41_116"": ""0.46"", ""41_117"": ""0.46"", ""41_118"": """", ""41_119"": """", ""41_125"": ""1"", ""41_126"": ""1"", ""41_127"": """", ""41_128"": """", ""45_121"": ""f"", ""45_122"": ""f"", ""50_135"": """"}",Charles City,Charles City County
9427,43474,B-2,"{""41_116"": ""1"", ""41_117"": ""1"", ""41_118"": """", ""41_119"": """", ""41_125"": ""1"", ""41_126"": ""1"", ""41_127"": """", ""41_128"": """", ""45_121"": ""f"", ""45_122"": ""f"", ""50_135"": """"}",Charles City,Charles City County
9043,43475,B-3,"{""41_116"": ""1"", ""41_117"": ""1"", ""41_118"": """", ""41_119"": """", ""41_125"": ""1"", ""41_126"": ""1"", ""41_127"": """", ""41_128"": """", ""45_121"": ""f"", ""45_122"": ""f"", ""50_135"": """"}",Charles City,Charles City County
9397,43476,M-1,"{""41_116"": """", ""41_117"": """", ""41_118"": """", ""41_119"": """", ""41_125"": """", ""41_126"": """", ""41_127"": """", ""41_128"": """", ""45_121"": ""f"", ""45_122"": ""f"", ""50_135"": """"}",Charles City,Charles City County
9060,43477,M-2,"{""41_116"": """", ""41_117"": """", ""41_118"": """", ""41_119"": """", ""41_125"": """", ""41_126"": """", ""41_127"": """", ""41_128"": """", ""45_121"": ""f"", ""45_122"": ""f"", ""50_135"": """"}",Charles City,Charles City County
9049,43478,PD-IP,"{""41_116"": """", ""41_117"": """", ""41_118"": """", ""41_119"": """", ""41_125"": """", ""41_126"": """", ""41_127"": """", ""41_128"": """", ""45_121"": ""f"", ""45_122"": ""f"", ""50_135"": """"}",Charles City,Charles City County
9057,43479,A-20,"{""41_116"": ""20"", ""41_117"": ""20"", ""41_118"": """", ""41_119"": """", ""41_125"": ""20"", ""41_126"": ""20"", ""41_127"": """", ""41_128"": """", ""45_121"": ""f"", ""45_122"": ""f"", ""50_135"": """"}",Charles City,Charles City County
