FID,LAT,LON,NCESSCH_1,JOIN_NUM,SCH_CAT,YEAR,PER_INEX_T,PER_OOF_T,PER_PROV,BLKSTU_CI,NUM_BLKLTS,PER_PROF, PER_ALL_AP ,P_ABOVE10,PER_ADVDIP,PER_EC_DIS,PER_ELL,PER_BLK_LA,Year,SCH_DIV,FED_SCHDIV,DIV_NUM,DIV_NAME,SCH_NUM,SCH_NAME
0,37.407,-77.623,510084000056,21632,High,2022 - 2023,4.8,4.2,11.4,1.726962457,7,#N/A, 22.1 ,22.8,48.61660079,36.38433515,4.280510018,46.22040073,2021-2022,Manchester HighChesterfield County Public Schools,Manchester HighChesterfield County Public Schools,21,Chesterfield County,632,Manchester High
1,37.44794,-77.64003,510084000324,21740,High,2022 - 2023,4.1,2.4,5.7,2.207843137,7,#N/A, 29.6 ,22.4,62.7039627,29.4084507,3.098591549,38.70422535,2021-2022,Clover Hill HighChesterfield County Public Schools,Clover Hill HighChesterfield County Public Schools,21,Chesterfield County,740,Clover Hill High
2,37.3886,-77.4946,510084000337,2110,High,2022 - 2023,6.3,7,10.5,1.365,20,#N/A, 17.2 ,34.7,44.46902655,47.27004427,8.706345303,68.0275455,2021-2022,Lloyd C. Bird HighChesterfield County Public Schools,Lloyd C. Bird HighChesterfield County Public Schools,21,Chesterfield County,10,Lloyd C. Bird High
3,37.2773,-77.4673,510084000340,21530,High,2022 - 2023,5.1,6.8,6.8,1.631707317,10,#N/A, 16.6 ,20.2,58.67346939,37.44654856,1.588271228,49.29749542,2021-2022,Matoaca HighChesterfield County Public Schools,Matoaca HighChesterfield County Public Schools,21,Chesterfield County,530,Matoaca High
4,37.4357,-77.4836,510084000342,21580,High,2022 - 2023,5.3,10,15.3,1.418269231,29,#N/A, 11.6 ,37.4,32.49516441,52.28726021,20.46237088,90.50664043,2021-2022,Meadowbrook HighChesterfield County Public Schools,Meadowbrook HighChesterfield County Public Schools,21,Chesterfield County,580,Meadowbrook High
5,37.3621,-77.4367,510084000350,21610,High,2022 - 2023,5.4,6.5,7.6,1.588888889,6,#N/A, 17.5 ,26.2,52.99539171,39.11007026,5.230288837,56.12802498,2021-2022,Thomas Dale HighChesterfield County Public Schools,Thomas Dale HighChesterfield County Public Schools,21,Chesterfield County,610,Thomas Dale High
6,37.5526,-77.6493,510084000766,21770,High,2022 - 2023,2.4,3.9,3.9,1.826666667,1,#N/A, 35.4 ,22.1,63.54378819,31.10419907,7.205806117,35.87350959,2021-2022,James River HighChesterfield County Public Schools,James River HighChesterfield County Public Schools,21,Chesterfield County,770,James River High
7,37.479,-77.6133,510084001833,21280,High,2022 - 2023,0.9,2.7,7.2,1.47639485,6,#N/A, 29.7 ,25.3,59.94962217,33.57843137,4.411764706,40.44117647,2021-2022,Monacan HighChesterfield County Public Schools,Monacan HighChesterfield County Public Schools,21,Chesterfield County,280,Monacan High
8,37.496,-77.6603,510084002006,21320,High,2022 - 2023,2.9,1.5,5.1,2.651376147,0,#N/A, 35.7 ,13.4,75.19083969,13.59413203,1.173594132,16.72371638,2021-2022,Midlothian HighChesterfield County Public Schools,Midlothian HighChesterfield County Public Schools,21,Chesterfield County,320,Midlothian High
9,37.4062,-77.7028,510084002661,21840,High,2022 - 2023,0.7,0.7,1.3,1.657894737,1,#N/A, 29.9 ,11.1,75.21663778,13.95056556,1.131126938,23.54419774,2021-2022,Cosby HighChesterfield County Public Schools,Cosby HighChesterfield County Public Schools,21,Chesterfield County,840,Cosby High
10,37.7004,-77.8971,510165000686,37220,High,2022 - 2023,0,3.8,7.6,1.924657534,1,#N/A, 24.4 ,8.9,76.62337662,27.75280899,1.460674157,22.13483146,2021-2022,Goochland HighGoochland County Public Schools,Goochland HighGoochland County Public Schools,37,Goochland County,220,Goochland High
11,37.6648,-77.4104,510183000114,4262,High,2022 - 2023,5.5,1.8,4.5,2.166666667,2,#N/A, 29.0 ,7.3,75.26315789,20.31454784,0.655307995,11.79554391,2021-2022,Atlee HighHanover County Public Schools,Atlee HighHanover County Public Schools,42,Hanover County,62,Atlee High
